hgnc_symbol	affy_hg_u133_plus_2
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	1553551_s_at
MT-TI	1553551_s_at
MT-TQ	
MT-TM	1553551_s_at
MT-ND2	1553551_s_at
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	1553570_x_at
MT-CO1	1553569_at
MT-CO1	1553538_s_at
MT-TS1	
MT-TD	1553570_x_at
MT-TD	1553569_at
MT-TD	1553567_s_at
MT-CO2	1553570_x_at
MT-CO2	1553569_at
MT-CO2	1553567_s_at
MT-TK	1553567_s_at
MT-ATP8	1553567_s_at
MT-ATP6	1553567_s_at
MT-ATP6	1553588_at
MT-CO3	1553588_at
MT-TG	1553588_at
MT-ND3	1553588_at
MT-TR	224373_s_at
MT-TR	1553588_at
MT-ND4L	224372_at
MT-ND4L	224373_s_at
MT-ND4L	1553588_at
MT-ND4	224372_at
MT-ND4	224373_s_at
MT-TH	
MT-TS2	
MT-TL2	211600_at
MT-ND5	211600_at
MT-ND5	1555653_at
MT-ND6	1553575_at
MT-TE	1553575_at
MT-CYB	
MT-TT	
MT-TP	
	
	212854_x_at
	215434_x_at
	201104_x_at
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	214561_at
KIR2DS4	
INTS3	202809_s_at
INTS3	
PCMTD2	
LILRP2	
KIR2DS5	
	1562844_at
LINC02109	244785_at
LINC02109	
KIR2DS3	208122_x_at
KIR2DL4	
KIR2DP1	
NCR1	217088_s_at
NCR1	
KIR2DL2	
KIR3DL2	207314_x_at
KIR3DL2	207313_x_at
KIR3DL2	211688_x_at
KIR3DL2	216907_x_at
KIR3DL3	
KIR3DL1	211687_x_at
FCAR	
FCAR	211306_s_at
FCAR	207674_at
OPRL1	206563_s_at
OPRL1	206564_at
NPBWR2	221358_at
KIR2DS2	
MYT1	
MYT1	215822_x_at
MYT1	210341_at
MYT1	1556269_at
KIR3DL3	216676_x_at
KIR2DL5B	211410_x_at
KIR3DL1	
KIR3DS1	
	220771_at
KIR2DL5A	211410_x_at
KIR2DS1	
	215822_x_at
KIR2DL1	210890_x_at
SBNO2	204166_at
SBNO2	215760_s_at
SBNO2	
PTCHD3	
DNAH10	1565339_at
DNAH10	1562462_at
DNAH10	229738_at
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	234901_at
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
KIR2DS3	
OR9G9	
GATAD2B	225393_at
GATAD2B	238076_at
LINC02735	
CCDC92	
CCDC92	218175_at
KRT18P40	
ZNF430	
	225762_x_at
RNA5-8SN5	
ZNF85	
ZNF85	1554445_at
ZNF85	206572_x_at
SLC27A3	222217_s_at
SLC27A3	202809_s_at
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	214868_at
PIWIL1	
	211132_at
KRTAP9-2	233631_x_at
KRTAP9-10P	
KRTAP9-4	233640_x_at
KRTAP9-6	
	1553474_at
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	220972_s_at
PPIAL4F	
DHX36	1559039_at
DHX36	
DHX36	223140_s_at
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	201681_s_at
DLG5	210469_at
DLG5	
ARHGEF26	227197_at
ARHGEF26	222121_at
ARHGEF26	233903_s_at
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	241443_at
ADI1	217761_at
ADI1	222400_s_at
TRAPPC12	
TRAPPC12	203122_at
TRAPPC12	229556_at
KRTAP9-3	234679_at
	224623_at
ARHGEF26-AS1	
FTCD-AS1	
LSS	211018_at
LSS	211019_s_at
LSS	202245_at
LSS	
TPO	
TPO	210342_s_at
LINC01659	
SUDS3P1	
ZDHHC8P1	222274_at
ZDHHC8P1	
PROP1	211223_at
LINC00254	
HS3ST6	239547_at
MEIOB	
CES5AP1	
LINC02124	
KRT20	213953_at
KRT20	
KCNQ2-AS1	
FAM230I	1554940_a_at
	1568827_at
KCNQ2	
KCNQ2	210508_s_at
ERICH1	
KRTAP3-1	233537_at
KRTAP3-2	233534_at
ZNF965P	
GXYLT1P1	
KRTAP4-9	234685_x_at
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
	225062_at
	225046_at
LINC00328-2P	
	203957_at
ANKRD20A9P	1569607_s_at
KRTAP2-4	220970_s_at
RNU6-55P	
	214203_s_at
KRT23	218963_s_at
KRT23	
ABCB11	208288_at
ABCB11	211224_s_at
SPATC1L	223360_at
G6PC2	221453_at
SLC45A2	220245_at
SLC45A2	
RXFP3	221066_at
ADAMTS12	
ABCB10P1	
GOLGA8DP	
