hgnc_symbol	affy_hta_2_0
MT-TF	TC11001412.hg
MT-TF	TC07000959.hg
MT-TF	TC0M000002.hg
MT-RNR1	TC0M000020.hg
MT-RNR1	TC11001412.hg
MT-RNR1	TC07000959.hg
MT-RNR1	TC0M000002.hg
MT-TV	TC0M000020.hg
MT-TV	TC11001412.hg
MT-TV	TC07000959.hg
MT-TV	TC0M000002.hg
MT-RNR2	TC0M000003.hg
MT-RNR2	TC0M000020.hg
MT-RNR2	TC11001412.hg
MT-RNR2	TC02000740.hg
MT-RNR2	TC07001932.hg
MT-RNR2	TC07000959.hg
MT-RNR2	TC04001102.hg
MT-RNR2	TC09000152.hg
MT-RNR2	TC0M000002.hg
MT-RNR2	TC04000491.hg
MT-TL1	TC0M000003.hg
MT-ND1	ADDON001198.hg
MT-ND1	TC0M000003.hg
MT-ND1	ADDON000548.hg
MT-ND1	TC01004109.hg
MT-TI	ADDON001198.hg
MT-TI	ADDON000548.hg
MT-TI	TC01004109.hg
MT-TQ	
MT-TM	ADDON001198.hg
MT-TM	ADDON000548.hg
MT-TM	TC01004109.hg
MT-ND2	ADDON001198.hg
MT-ND2	TC0M000004.hg
MT-ND2	ADDON000548.hg
MT-ND2	TC01004109.hg
MT-TW	TC0M000004.hg
MT-TA	
MT-TN	TC01002064.hg
MT-TC	TC01002064.hg
MT-TY	TC01002064.hg
MT-CO1	TC01004110.hg
MT-CO1	TC0M000004.hg
MT-CO1	TC01000013.hg
MT-CO1	TC0M000021.hg
MT-TS1	
MT-TD	TC0M000005.hg
MT-TD	TC01000013.hg
MT-TD	TC0M000021.hg
MT-CO2	TC0M000005.hg
MT-CO2	TC0M000022.hg
MT-CO2	TC01000013.hg
MT-CO2	TC0M000021.hg
MT-TK	TC0M000005.hg
MT-TK	TC0M000022.hg
MT-TK	TC01000013.hg
MT-ATP8	TC0M000005.hg
MT-ATP8	TC0M000022.hg
MT-ATP8	TC01000013.hg
MT-ATP6	TC0M000005.hg
MT-ATP6	TC0M000006.hg
MT-ATP6	TC0M000022.hg
MT-ATP6	TC01000013.hg
MT-CO3	TC0M000006.hg
MT-CO3	TC0M000022.hg
MT-TG	TC0M000006.hg
MT-ND3	TC0M000007.hg
MT-ND3	TC0M000006.hg
MT-TR	TC0M000007.hg
MT-TR	TC0M000006.hg
MT-ND4L	TC0M000023.hg
MT-ND4L	TC0M000007.hg
MT-ND4	TC0M000023.hg
MT-ND4	TC0M000007.hg
MT-ND4	TC0M000008.hg
MT-ND4	TC08001295.hg
MT-ND4	TC0M000009.hg
MT-ND4	TC0M000024.hg
MT-TH	TC0M000008.hg
MT-TH	TC08001295.hg
MT-TH	TC0M000009.hg
MT-TH	TC0M000024.hg
MT-TS2	TC0M000008.hg
MT-TS2	TC08001295.hg
MT-TS2	TC0M000009.hg
MT-TS2	TC0M000024.hg
MT-TL2	TC0M000008.hg
MT-TL2	TC08001295.hg
MT-TL2	TC0M000009.hg
MT-TL2	TC0M000024.hg
MT-ND5	TC0M000010.hg
MT-ND5	TC0M000008.hg
MT-ND5	TC08001295.hg
MT-ND5	TC0M000009.hg
MT-ND5	TC0M000024.hg
MT-ND6	
MT-TE	
MT-CYB	TC0M000011.hg
MT-CYB	TC0M000010.hg
MT-CYB	TC0M000025.hg
MT-CYB	TC0M000026.hg
MT-TT	TC0M000011.hg
MT-TT	TC0M000025.hg
MT-TT	TC0M000026.hg
MT-TP	TC0M000019.hg
	
KIR2DL3	
KIR2DL1	
KIR3DP1	ADDON002292.hg
KIR3DP1	ADDON002295.hg
KIR3DP1	ADDON002266.hg
