hgnc_symbol	affy_hugene_2_0_st_v1
MT-TF	17100641
MT-TF	17100639
MT-TF	17100643
MT-RNR1	17100641
MT-RNR1	17100639
MT-RNR1	17100643
MT-TV	17100643
MT-RNR2	17100647
MT-RNR2	17126274
MT-RNR2	17100649
MT-RNR2	17100643
MT-TL1	17100647
MT-TL1	17100651
MT-TL1	17126274
MT-TL1	17100649
MT-ND1	17100647
MT-ND1	17100653
MT-ND1	17100651
MT-ND1	17126274
MT-ND1	17100649
MT-TI	17100653
MT-TI	17100651
MT-TI	17100649
MT-TQ	17100687
MT-TM	17100655
MT-TM	17100653
MT-TM	17100651
MT-TM	17100649
MT-ND2	17100657
MT-ND2	17100655
MT-ND2	17100653
MT-ND2	17100651
MT-ND2	17100649
MT-TW	17100657
MT-TW	17100655
MT-TA	17100693
MT-TA	17126264
MT-TA	17126276
MT-TA	17100689
MT-TA	17100691
MT-TN	17100693
MT-TN	16679936
MT-TN	17126264
MT-TN	17126276
MT-TN	17100689
MT-TN	17100691
MT-TC	16679936
MT-TC	17126264
MT-TC	17126276
MT-TC	17100689
MT-TC	17100691
MT-TY	17100693
MT-TY	16679936
MT-TY	17126264
MT-TY	17126276
MT-TY	17100689
MT-TY	17100691
MT-CO1	17100657
MT-CO1	17100661
MT-CO1	17126266
MT-CO1	17100659
MT-CO1	17100663
MT-TS1	17100695
MT-TD	17100661
MT-TD	17126266
MT-TD	17100659
MT-TD	17100663
MT-CO2	17100661
MT-CO2	17126268
MT-CO2	17126266
MT-CO2	17100659
MT-CO2	17100663
MT-TK	17126268
MT-TK	17126266
MT-TK	17100663
MT-ATP8	17126268
MT-ATP8	17126266
MT-ATP8	17100665
MT-ATP8	17100663
MT-ATP6	17126268
MT-ATP6	17100669
MT-ATP6	17126266
MT-ATP6	17100665
MT-ATP6	17100663
MT-ATP6	17100667
MT-CO3	17100669
MT-CO3	17100671
MT-CO3	17100665
MT-CO3	17126270
MT-CO3	17100667
MT-TG	17100669
MT-TG	17100671
MT-TG	17126270
MT-TG	17100667
MT-ND3	17100669
MT-ND3	17100671
MT-ND3	17100673
MT-ND3	17126270
MT-ND3	17100667
MT-TR	17100669
MT-TR	17100671
MT-TR	17100673
MT-TR	17126270
MT-ND4L	17100671
MT-ND4L	17100673
MT-ND4L	17126270
MT-ND4	17100679
MT-ND4	17100681
MT-ND4	17100673
MT-ND4	17126272
MT-ND4	17100677
MT-ND4	17126278
MT-ND4	17100675
