hgnc_symbol	affy_primeview
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	11761515_s_at
MT-RNR2	11761514_at
MT-RNR2	11761516_x_at
MT-TL1	11761515_s_at
MT-TL1	11761514_at
MT-TL1	11761516_x_at
MT-ND1	11761515_s_at
MT-ND1	11761514_at
MT-ND1	11761516_x_at
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	11762992_at
MT-TW	11762992_at
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	11762992_at
MT-TS1	
MT-TD	
MT-CO2	11758423_s_at
MT-TK	11758423_s_at
MT-ATP8	11758423_s_at
MT-ATP6	11762922_s_at
MT-ATP6	11758423_s_at
MT-ATP6	11762923_x_at
MT-CO3	11762922_s_at
MT-CO3	11762923_x_at
MT-TG	11762922_s_at
MT-ND3	
MT-TR	
MT-ND4L	11764256_s_at
MT-ND4	11764256_s_at
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	11762525_s_at
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
	11750634_x_at
	11760963_x_at
	11739549_s_at
	11740652_x_at
KIR2DL3	11742301_x_at
KIR2DL1	11742301_x_at
KIR2DL1	11741900_x_at
KIR3DP1	11742302_at
KIR3DP1	
LILRP1	
KIR3DL2	11755085_x_at
LILRP2	
KIR2DS4	11741834_x_at
KIR2DS4	11753190_x_at
KIR2DS4	11737832_x_at
INTS3	11720354_a_at
INTS3	11746983_a_at
INTS3	11720355_a_at
INTS3	11758827_at
INTS3	11750108_x_at
INTS3	11746984_x_at
INTS3	
PCMTD2	11752797_a_at
PCMTD2	
KIR2DS5	11741898_x_at
KIR2DS5	11753190_x_at
KIR2DS5	11737832_x_at
LINC02109	
KIR2DS3	11741898_x_at
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	11741900_x_at
KIR3DL3	11738374_at
KIR3DL3	11738375_x_at
KIR3DL1	11752582_x_at
FCAR	
FCAR	11753228_x_at
FCAR	11738861_x_at
FCAR	11738860_at
FCAR	11738481_x_at
OPRL1	11744636_a_at
OPRL1	11744637_a_at
NPBWR2	11734590_at
KIR2DS2	11753190_x_at
KIR2DS2	11737832_x_at
KIR2DS2	11742301_x_at
KIR2DS2	11741900_x_at
MYT1	11745108_a_at
MYT1	11755178_a_at
MYT1	
KIR2DL5B	11741901_x_at
KIR3DS1	11737875_x_at
KIR3DS1	11741900_x_at
KIR2DL2	11742301_x_at
KIR3DL1	
	11762537_at
KIR2DL5A	11741901_x_at
KIR2DS1	11753190_x_at
KIR2DS1	11737832_x_at
KIR2DL1	11761947_x_at
KIR2DL1	11761946_at
	11745108_a_at
	11752797_a_at
KIR3DL3	
	11741898_x_at
	11753190_x_at
	11737832_x_at
SBNO2	11750756_a_at
SBNO2	11718692_x_at
SBNO2	11752242_a_at
SBNO2	11753769_x_at
SBNO2	11718691_a_at
SBNO2	
PTCHD3	11740666_at
PTCHD3	
DNAH10	11728116_at
DNAH10	
DNAH10	11764035_at
ODAD2P1	
FAM210CP	
TRIAP1P1	
KIR3DS1	
SNTG2	
OR9G4	11742538_at
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	11763023_at
OR5G5P	
OR9G2P	
OR9G1	11738929_at
GEMIN2P1	
OR9G9	11738929_at
GATAD2B	11724893_at
GATAD2B	11724894_at
GATAD2B	11724895_at
LINC02735	
CCDC92	
CCDC92	11754580_s_at
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
ZNF85	11756607_x_at
ZNF85	11763296_at
SLC27A3	11720355_a_at
SLC27A3	11758827_at
SLC27A3	11720187_a_at
KIR2DS3	11753190_x_at
KIR2DS3	11737832_x_at
	11741834_x_at
BNIP3P24	
ZNF66	11762213_x_at
ZNF66	
PIWIL1	11728487_at
PIWIL1	
KRTAP9-2	11741837_x_at
KRTAP9-10P	
	11742302_at
KRTAP9-4	11741848_x_at
KRTAP9-6	
	11752762_s_at
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	11735982_at
PPIAL4F	11715324_s_at
DHX36	
DHX36	11719503_a_at
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	11751899_a_at
DLG5	11757609_s_at
DLG5	11745973_a_at
DLG5	
ARHGEF26	11734165_x_at
ARHGEF26	11734164_a_at
ARHGEF26	11746981_x_at
ARHGEF26	11746141_x_at
ARHGEF26	11746140_a_at
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	11757512_a_at
ADI1	11757564_x_at
ADI1	11745196_a_at
TRAPPC12	
TRAPPC12	11754345_a_at
KRTAP9-3	11738584_x_at
	11756139_s_at
	11760126_at
	11759269_x_at
ARHGEF26-AS1	
FTCD-AS1	
LSS	11731324_a_at
