hgnc_symbol	affy_u133_x3p
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	Hs2Affx.1.29.S1_3p_s_at
MT-ND1	1553551_3p_s_at
MT-TI	Hs2Affx.1.29.S1_3p_s_at
MT-TI	1553551_3p_s_at
MT-TQ	
MT-TM	Hs2Affx.1.29.S1_3p_s_at
MT-TM	1553551_3p_s_at
MT-ND2	Hs2Affx.1.29.S1_3p_s_at
MT-ND2	1553551_3p_s_at
MT-TW	Hs2Affx.1.29.S1_3p_s_at
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	Hs2Affx.1.43.S1_3p_x_at
MT-CO1	Hs2Affx.1.24.S1_3p_x_at
MT-TS1	
MT-TD	Hs2Affx.1.43.S1_3p_x_at
MT-TD	1553567_3p_s_at
MT-CO2	Hs2Affx.1.43.S1_3p_x_at
MT-CO2	Hs2Affx.1.41.S1_3p_s_at
MT-CO2	1553567_3p_s_at
MT-TK	Hs2Affx.1.43.S1_3p_x_at
MT-TK	Hs2Affx.1.41.S1_3p_s_at
MT-TK	1553567_3p_s_at
MT-ATP8	Hs2Affx.1.43.S1_3p_x_at
MT-ATP8	Hs2Affx.1.41.S1_3p_s_at
MT-ATP8	1553567_3p_s_at
MT-ATP6	Hs2Affx.1.41.S1_3p_s_at
MT-ATP6	Hs2Affx.1.52.S1_3p_at
MT-ATP6	1553567_3p_s_at
MT-CO3	Hs2Affx.1.41.S1_3p_s_at
MT-CO3	Hs2Affx.1.52.S1_3p_at
MT-TG	Hs2Affx.1.52.S1_3p_at
MT-ND3	Hs2Affx.1.52.S1_3p_at
MT-TR	Hs2Affx.1.52.S1_3p_at
MT-ND4L	g12005804_3p_at
MT-ND4L	Hs2Affx.1.52.S1_3p_at
MT-ND4	g12005804_3p_at
MT-TH	
MT-TS2	
MT-TL2	g885925_3p_at
MT-ND5	g885925_3p_at
MT-ND5	Hs2Affx.1.415.S1_3p_at
MT-ND6	Hs2Affx.1.46.S1_3p_at
MT-TE	Hs2Affx.1.46.S1_3p_at
MT-CYB	
MT-TT	
MT-TP	
	
	Hs.218329.2.A1_3p_s_at
	Hs.323463.1.S1_3p_x_at
	Hs.218329.4.A1_3p_s_at
	Hs.218329.0.A2_3p_s_at
	212854_3p_x_at
	g7657016_3p_x_at
KIR2DL3	g2760896_3p_x_at
KIR2DL1	g2760896_3p_x_at
KIR2DL1	g1217724_3p_x_at
KIR2DL1	g897908_3p_x_at
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	
KIR2DS4	g7657276_3p_x_at
KIR2DS4	Hs.258612.1.S1_3p_x_at
INTS3	g12711679_3p_at
INTS3	
PCMTD2	
KIR2DS5	g7657276_3p_x_at
KIR2DS5	g7657278_3p_x_at
KIR2DS5	g11528059_3p_x_at
	Hs2.434149.1.S1_3p_at
LINC02109	Hs.122210.0.A1_3p_at
LINC02109	
KIR2DS3	208122_3p_x_at
KIR2DS3	g7657276_3p_x_at
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	g1217724_3p_x_at
KIR2DL2	g897908_3p_x_at
KIR3DL2	g1217718_3p_x_at
KIR3DL2	g5803051_3p_x_at
KIR3DL3	
KIR3DL1	211687_3p_x_at
KIR3DL1	g13560450_3p_x_at
FCAR	
FCAR	g1326228_3p_at
FCAR	g4503672_3p_at
OPRL1	g4505512_3p_x_at
OPRL1	g13022242_3p_s_at
OPRL1	g4505512_3p_at
OPRL1	g13022242_3p_a_at
NPBWR2	g4885344_3p_at
KIR2DS2	g7657276_3p_x_at
KIR2DS2	g2760896_3p_x_at
KIR2DS2	g1217724_3p_x_at
KIR2DS2	g897908_3p_x_at
MYT1	
MYT1	g4240158_3p_at
MYT1	Hs.279562.0.S1_3p_s_at
MYT1	Hs2.407228.1.A1_3p_at
MYT1	Hs2.407228.1.A1_3p_x_at
KIR2DL5B	211410_3p_x_at
KIR2DL5B	g11528059_3p_x_at
KIR3DS1	g1217724_3p_x_at
KIR3DS1	g897908_3p_x_at
KIR3DS1	g1890669_3p_x_at
KIR2DL2	g2760896_3p_x_at
KIR3DL1	
	g7705870_3p_at
KIR2DL5A	211410_3p_x_at
KIR2DL5A	g11528059_3p_x_at
KIR2DS1	g7657276_3p_x_at
LILRP2	Hs.202680.0.S1_3p_at
	g7657276_3p_x_at
SBNO2	Hs.251410.0.S1_3p_s_at
SBNO2	g7662409_3p_at
SBNO2	
PTCHD3	
DNAH10	Hs2.404165.1.S1_3p_at
DNAH10	Hs2.437113.1.S1_3p_at
DNAH10	Hs.136245.0.A1_3p_at
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
KIR3DS1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	Hs.247758.0.S1_3p_at
