hgnc_symbol	agilent_gpl19072
MT-TF	RNA143570|rRNA_9_954
MT-TF	RNA143577
MT-RNR1	RNA143570|rRNA_9_954
MT-RNR1	RNA143577
MT-RNR1	p26925
MT-RNR1	p33897
MT-RNR1	p33898
MT-TV	RNA143570|rRNA_9_954
MT-TV	p26925
MT-TV	p33897
MT-TV	p33898
MT-RNR2	A_24_P182122
MT-RNR2	RNA143501|tRNA_418_69
MT-RNR2	RNA143567
MT-RNR2	RNA143570|rRNA_9_954
MT-RNR2	RNA147405|p0509_imsncRNA82
MT-RNR2	p26925
MT-RNR2	p33897
MT-RNR2	p33898
MT-TL1	A_24_P182122
MT-TL1	RNA143501|tRNA_418_69
MT-TL1	RNA143567
MT-TL1	RNA147405|p0509_imsncRNA82
MT-ND1	A_23_P431853
MT-ND1	A_24_P182122
MT-ND1	RNA143501|tRNA_418_69
MT-ND1	RNA143567
MT-ND1	RNA147405|p0509_imsncRNA82
MT-TI	A_23_P431853
MT-TI	RNA143501|tRNA_418_69
MT-TQ	
MT-TM	A_23_P431853
MT-TM	RNA143501|tRNA_418_69
MT-ND2	A_23_P431853
MT-ND2	RNA143501|tRNA_418_69
MT-TW	
MT-TA	RNA143208|tRNA_125_73
MT-TN	RNA143208|tRNA_125_73
MT-TC	RNA143208|tRNA_125_73
MT-TY	RNA143208|tRNA_125_73
MT-CO1	A_23_P301925
MT-CO1	A_23_P402751
MT-CO1	A_33_P3410700
MT-CO1	RNA143496|tRNA_413_70
MT-CO1	RNA143539|tRNA_456_68
MT-CO1	p26926
MT-TS1	
MT-TD	A_23_P402751
MT-TD	A_33_P3410700
MT-TD	RNA143496|tRNA_413_70
MT-TD	RNA143539|tRNA_456_68
MT-TD	p26926
MT-CO2	A_23_P337726
MT-CO2	A_23_P402751
MT-CO2	A_33_P3410700
MT-CO2	RNA143496|tRNA_413_70
MT-CO2	RNA143539|tRNA_456_68
MT-CO2	p26926
MT-TK	A_23_P337726
MT-TK	A_33_P3410700
MT-TK	RNA143496|tRNA_413_70
MT-ATP8	A_23_P337726
MT-ATP8	A_33_P3410700
MT-ATP8	RNA143496|tRNA_413_70
MT-ATP6	A_23_P337726
MT-ATP6	A_23_P360209
MT-ATP6	A_33_P3410700
MT-ATP6	RNA143496|tRNA_413_70
MT-CO3	A_23_P360209
MT-CO3	A_33_P3336696
MT-TG	A_23_P360209
MT-TG	A_33_P3336696
MT-ND3	A_23_P315252
MT-ND3	A_23_P360209
MT-ND3	A_33_P3336696
MT-TR	A_23_P315252
MT-TR	A_23_P360209
MT-TR	A_33_P3336696
MT-TR	p28385
MT-ND4L	A_23_P315252
MT-ND4L	A_33_P3336696
MT-ND4L	p28385
MT-ND4	A_23_P315252
MT-ND4	RNA143452|tRNA_369_71
MT-ND4	RNA143502|tRNA_419_69
MT-ND4	p28385
MT-TH	RNA143452|tRNA_369_71
MT-TH	RNA143502|tRNA_419_69
MT-TS2	RNA143452|tRNA_369_71
MT-TS2	RNA143502|tRNA_419_69
MT-TL2	RNA143452|tRNA_369_71
MT-TL2	RNA143502|tRNA_419_69
MT-ND5	A_23_P406928
MT-ND5	RNA143452|tRNA_369_71
MT-ND5	RNA143502|tRNA_419_69
MT-ND6	A_23_P317056
MT-ND6	RNA143503|tRNA_420_69
MT-ND6	RNA147303|p0407_imsncRNA822
MT-TE	A_23_P317056
MT-TE	RNA143503|tRNA_420_69
MT-CYB	
MT-TT	
MT-TP	
	
	A_32_P171181
KIR2DL3	
KIR2DL1	A_33_P3313920
KIR3DP1	A_33_P3258478
KIR3DP1	A_33_P3294946
KIR3DP1	p8845
LILRP1	
KIR3DL2	A_33_P3233010
LILRP2	
KIR2DS4	A_23_P502590
KIR2DS4	A_24_P87746
INTS3	A_23_P126757
INTS3	A_33_P3281537
INTS3	
PCMTD2	
KIR2DS5	
	p29231
	p8905
LINC02109	p13634
LINC02109	A_21_P0003923
LINC02109	p13635
LINC02109	p22944
LINC02109	p22946
LINC02109	p22949
LINC02109	p22950
LINC02109	p13636
	A_21_P0014000
KIR2DS3	
KIR2DL4	
KIR2DP1	A_21_P0014000
NCR1	
KIR2DL2	
KIR3DL2	
KIR3DL3	A_23_P370574
KIR3DL1	A_24_P117147
KIR3DL1	
FCAR	
FCAR	A_23_P208768
OPRL1	A_23_P345564
OPRL1	A_33_P3359647
NPBWR2	A_33_P3269791
KIR2DP1	
KIR2DS2	
KIR2DS2	A_33_P3313920
MYT1	A_33_P3312676
MYT1	A_23_P210835
MYT1	
KIR3DL3	
KIR3DP1	
KIR2DL5B	A_24_P5890
KIR2DL5B	A_33_P3270346
KIR3DS1	A_24_P117147
	A_33_P3258478
KIR2DL2	A_33_P3313920
	A_33_P3230188
	p1154
KIR2DL5A	A_24_P5890
KIR2DL5A	A_33_P3270346
FCAR	p8846
KIR2DS1	
KIR3DS1	
KIR3DL3	A_21_P0014000
KIR2DS2	A_23_P130815
SBNO2	A_33_P3220152
SBNO2	A_33_P3298587
SBNO2	
PTCHD3	A_33_P3266285
DNAH10	A_32_P228268
DNAH10	A_33_P3250333
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	A_33_P3348569
OR5G3	
OR9G3P	
OR5G1P	A_33_P3272145
OR5G4P	
OR5G5P	A_33_P3403583
OR5G5P	
	p460
OR9G2P	
OR9G1	A_33_P3348564
GEMIN2P1	
OR9G9	A_33_P3348574
GATAD2B	A_33_P3323822
LINC02735	
CCDC92	
CCDC92	A_23_P98900
CCDC92	A_33_P3415124
CCDC92	p3428
	p15186
KRT18P40	
	p8629
ZNF430	
RNA5-8SN5	p24591
	p24591
ZNF85	
ZNF85	A_23_P67702
	p459
SLC27A3	A_23_P126757
SLC27A3	A_24_P179816
SLC27A3	A_33_P3281537
SLC27A3	
	A_33_P3415124
	A_23_P502590
	A_24_P87746
	p20670
BNIP3P24	
	A_24_P913716
ZNF66	A_21_P0011681
ZNF66	A_21_P0011768
ZNF66	
PIWIL1	A_23_P116741
PIWIL1	
KRTAP9-2	A_33_P3307457
KRTAP9-10P	
	A_33_P3294946
	p8845
KRTAP9-4	A_23_P207868
KRTAP9-6	A_33_P3358908
	A_23_P420348
KRTAP9-7	A_33_P3292164
KRTAP9-7	A_33_P3404123
KRTAP29-1	A_33_P3283030
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	A_23_P311585
	p28989
PPIAL4F	A_24_P144499
DHX36	
DHX36	A_23_P57697
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	A_24_P129632
DLG5	
ARHGEF26	A_23_P69100
ARHGEF26	A_32_P5276
LINC01839	A_21_P0002815
LINC01839	p12146
LINC02054	A_33_P3234550
LINC02054	
RNU6-222P	
FTCD	
	A_21_P0012966
	p14045
	p13546
	p13545
ADI1	A_32_P52911
	A_21_P0012867
	A_21_P0012871
	p14046
	p14047
TRAPPC12	
TRAPPC12	A_23_P256835
KRTAP9-3	A_23_P101038
	A_32_P41405
	A_33_P3336642
	A_33_P3292164
	A_33_P3404123
ARHGEF26-AS1	
SNTG2	A_23_P251132
	p10926
FTCD-AS1	A_33_P3403232
FTCD-AS1	p10925
LSS	
LSS	A_24_P110799
TPO	A_33_P3405848
TPO	A_33_P3405839
TPO	A_33_P3260014
TPO	
LINC01659	p11111
LINC01659	A_21_P0012319
LINC01659	p11112
SUDS3P1	
ZDHHC8P1	A_21_P0012291
ZDHHC8P1	
PROP1	A_33_P3394465
LINC00254	
HS3ST6	A_33_P3302185
MEIOB	
CES5AP1	A_21_P0012348
CES5AP1	p34716
LINC02124	p6236
KRT20	A_23_P66854
KRT20	
KCNQ2-AS1	p10655
	p15999
	A_21_P0012258
	A_21_P0012321
FAM230I	p10961
	p15551
	p25518
KCNQ2	
KCNQ2	A_33_P3360753
KCNQ2	A_33_P3395823
ERICH1	
KRTAP3-1	A_23_P107454
KRTAP3-1	A_33_P3382399
KRTAP3-2	A_23_P101048
ZNF965P	
GXYLT1P1	
KRTAP4-9	A_24_P315975
CYP4F34P	
LINC02557	p10962
CNN2P12	
SNX18P26	
	A_33_P3402056
LINC00328-2P	
	A_23_P170774
ANKRD20A9P	A_33_P3213086
ANKRD20A9P	A_33_P3347241
KRTAP2-4	A_23_P164405
	A_21_P0012868
	A_33_P3409210
RNU6-55P	
	p7358
	A_33_P3239295
	A_33_P3338341
KRT23	A_23_P78248
KRT23	A_33_P3299761
KRT23	
	p875
ABCB11	A_23_P39703
	A_21_P0001117
	p134
SPATC1L	A_23_P371765
SPATC1L	
G6PC2	
G6PC2	A_33_P3239352
SLC45A2	
SLC45A2	A_33_P3241696
RXFP3	A_23_P363365
ADAMTS12	
	A_21_P0003350
	A_33_P3365506
	p12672
	p12673
	p12674
ABCB10P1	
GOLGA8DP	
SPC25	
SPC25	A_23_P51085
LINC02549	
APOBEC3B-AS1	p11034
APOBEC3A	
GARRE1	
	p34504
	p2021
	p2022
	p2023
DLG5-AS1	p2024
DLG5-AS1	p24861
TUBGCP5	
	A_33_P3267198
	A_33_P3267203
RN7SL284P	
	p7058
RNU6-1266P	
SEPTIN9-DT	A_33_P3219850
SEPTIN9-DT	p7059
SEPTIN9	
	p11209
LSM14A	A_24_P365327
LSM14A	
KRT40	A_33_P3310894
GOLGA6L1	A_24_P50972
GOLGA6L1	A_33_P3332474
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	p20805
CRIM1-DT	p20806
CRIM1-DT	p30325
NOSTRIN	
NOSTRIN	A_23_P79360
MPHOSPH10P5	
KRTAP1-1	A_23_P141624
	A_33_P3286196
KRTAP4-11	A_23_P4400
	p7359
KRTAP2-5P	
CYFIP1	
KRTAP1-3	A_23_P130241
KRTAP1-3	A_24_P142495
KRTAP4-16	A_33_P3252441
KRT12	
	p15553
	p8912
DLGAP2-AS1	p15555
DLGAP2	
KRTAP1-5	A_23_P118842
KRTAP1-5	A_33_P3254579
KRT39	A_33_P3268234
	p24783
	p28924
	p732
ANKRD18DP	p34720
ANKRD18DP	
CNTNAP2	
CNTNAP2	A_33_P3367196
RPS17	
GOLGA6L22	A_24_P50972
GOLGA6L22	A_32_P715159
GOLGA6L22	A_33_P3332474
SLC25A51P1	
ADH5P4	A_24_P280873
AADACL2	A_23_P91970
KRTAP3-4P	
GOLGA8EP	p34689
KRTAP2-1	A_24_P76854
SKA1	A_24_P322354
SKA1	
	A_32_P12610
	A_33_P3222501
METRNL	A_23_P10591
	A_21_P0010748
	p33340
	p33341
KRTAP3-3	A_23_P89649
KRTAP3-3	A_33_P3411315
LILRP2	p8844
	A_33_P3254900
	A_33_P3263603
	A_33_P3314810
	A_33_P3396336
LINC02066	A_33_P3409655
LINC02066	p12036
KRTAP2-3	
	p8240
	p8241
AADACL2-AS1	p29346
AADACL2-AS1	
RNU6-821P	
ZNF43	A_33_P3340385
ZNF43	
KRTAP4-12	A_23_P15798
KRTAP1-4	A_33_P3213006
HERC2P2	A_21_P0011298
HERC2P2	A_21_P0011395
HERC2P2	A_21_P0011396
HERC2P2	A_21_P0011429
HERC2P2	A_33_P3280003
HERC2P2	p28800
HERC2P2	p34621
HERC2P2	
PAXBP1	
	A_23_P66844
	A_33_P3256257
ZNF100	A_32_P48244
ZNF100	A_33_P3237403
ZNF100	
	A_24_P325146
	A_33_P3209615
	p7572
	p7571
	p7569
	p7570
C21orf62	A_23_P132079
FRG1-DT	p12573
FRG1-DT	p12574
FRG1-DT	p12575
FRG1-DT	A_21_P0012708
FRG1-DT	p12576
CCNYL6	
HERC2P7	A_21_P0011291
SPATA31E3P	
	A_21_P0003881
	p13036
	p22656
GOLGA8IP	p34730
GOLGA8IP	p34210
C21orf62-AS1	p30119
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	A_24_P734720
VN1R84P	
MTDHP4	
MAPK4	A_33_P3289860
	p26287
	p34332
CPEB1	A_33_P3268838
CPEB1	
	A_33_P3290829
	p2602
TBCD	A_23_P100602
TBCD	A_24_P275873
TBCD	
	A_21_P0004010
	p13712
	A_32_P16918
	p12645
RNA5SP458	
LRRC56	A_23_P368996
	A_21_P0012992
MPHOSPH10P9	
CTDP1-DT	p7831
	p7832
	A_21_P0009642
	p20480
	A_23_P356646
RPS6P22	
LRIG3-DT	
	p8095
MAFIP	A_23_P356646
MAFIP	p34132
SMN2	
SMN2	A_23_P58466
TUBGCP5	A_23_P152038
	p8093
	A_21_P0009509
	p20585
	p8094
CTDP1	A_23_P89727
CTDP1	
DECR2	A_23_P100315
DECR2	A_33_P3393408
DECR2	
MREGP1	
	A_21_P0011090
	A_23_P25069
	A_21_P0011034
	A_33_P3336909
	A_33_P3416804
AP2A2	
AP2A2	A_33_P3311863
AP2A2	A_24_P932418
SNTB2	
RPL4P5	
PHRF1	A_32_P8251
PHRF1	
UTP4	
UTP4	A_24_P25346
SINHCAF	A_23_P13663
SINHCAF	A_32_P103837
SINHCAF	
MAD2L1-DT	A_33_P3295543
GART	
GART	A_23_P80098
ABR	A_23_P503182
ABR	A_33_P3372297
ABR	p33680
ABR	
MEGF11	
MEGF11	A_33_P3312790
RPS5P3	
DNAJC28	A_23_P68700
UGT2A3	A_24_P334378
B3GNTL1	A_24_P181672
B3GNTL1	
IFNGR2	
IFNGR2	A_23_P29036
MUC6	A_24_P88079
MUC6	
UGT2B27P	
	p26312
MUC20-OT1	
MUC20-OT1	p33559
MUC20-OT1	p33558
MUC20-OT1	p12197
MUC20-OT1	p12198
MUC20-OT1	A_19_P00316857
MUC20-OT1	A_33_P3322236
MUC20-OT1	A_19_P00317653
MUC20-OT1	p12195
MUC20-OT1	p12192
MUC20-OT1	p29367
MUC20-OT1	p33557
MUC20-OT1	p33556
MUC20-OT1	p12194
MUC20-OT1	p12193
MUC20-OT1	p12190
MUC20-OT1	p12191
CDH12P2	
PMCHL2	p34377
PMCHL2	
UGT2B29P	
UGT2B10	
PRB1	
RAB11FIP3	A_23_P106727
RAB11FIP3	
GTF2H2	A_24_P274640
GTF2H2	p13711
GTF2H2	
RNU6-1025P	
UGT2B15	A_23_P58407
SDHAP2	p29367
SDHAP2	p33556
SDHAP2	p33557
KRTAP5-6	A_33_P3266564
KRTAP5-1	A_33_P3304691
KRTAP5-4	A_33_P3317317
KRTAP5-4	A_33_P3405369
	p11693
KRTAP5-5	A_33_P3304576
KRTAP5-5	A_33_P3393412
MT2P1	
FAM99A	p2146
FAM99A	p2609
DIS3L-AS1	p5213
TMPRSS11E	A_23_P18751
LINC02708	A_21_P0014267
LINC02708	p29026
KRTAP5-AS1	p2608
KRTAP5-AS1	p29041
TMEM50B	p26161
TMEM50B	A_24_P305623
TMEM50B	
NDUFA6	A_24_P23245
NDUFA6	
	A_21_P0014267
	p29026
DUSP8	A_33_P3263625
DUSP8	A_33_P3359012
DUSP8	
GNG5P1	
	p14789
TCF20	A_23_P424316
TCF20	A_33_P3271301
TCF20	
FAM99B	p2146
IFITM10	A_33_P3358601
IFITM10	
KRTAP5-3	
KRTAP5-2	A_33_P3364373
SMDT1	
SMDT1	A_23_P211584
SMDT1	p11215
SMDT1	p11216
SMDT1	p26194
YTHDC1	A_32_P352697
YTHDC1	
LINC00235	p25027
CAPN15	
NDUFA6-DT	p11215
NDUFA6-DT	p11216
NDUFA6-DT	p26194
OLA1P1	A_23_P28420
	p11046
	A_21_P0010201
	p10728
CYP2D7	A_23_P155123
CYP2D7	
