hgnc_symbol	phalanx_onearray
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	PH_hs_0033947
MT-CO2	PH_hs_0036541
MT-TK	PH_hs_0033947
MT-TK	PH_hs_0036541
MT-ATP8	PH_hs_0033947
MT-ATP8	PH_hs_0036541
MT-ATP6	PH_hs_0033947
MT-ATP6	PH_hs_0036541
MT-CO3	PH_hs_0033947
MT-CO3	PH_hs_0036541
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
	PH_hs_0030495
	PH_hs_0033661
	PH_hs_0033966
	PH_hs_0037803
	PH_hs_0039548
KIR2DL3	PH_hs_0034336
KIR2DL3	PH_hs_0039926
KIR2DL1	PH_hs_0038457
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	PH_hs_0011937
KIR2DS4	PH_hs_0028958
KIR2DS4	PH_hs_0032360
INTS3	PH_hs_0005894
INTS3	
PCMTD2	
LILRP2	
KIR2DS5	
	PH_hs_0020233
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	PH_hs_0005258
NCR1	
KIR2DL2	PH_hs_0039926
KIR2DL2	PH_hs_0036459
KIR2DL2	PH_hs_0036998
KIR3DL2	PH_hs_0028918
KIR3DL3	
KIR3DL1	PH_hs_0033005
FCAR	
OPRL1	PH_hs_0000363
NPBWR2	PH_hs_0013150
KIR2DL1	PH_hs_0036459
KIR2DL1	PH_hs_0036998
KIR2DL1	PH_hs_0038235
KIR2DS2	PH_hs_0039926
KIR2DS2	PH_hs_0028958
KIR2DS2	PH_hs_0036459
KIR2DS2	PH_hs_0036998
KIR2DS2	PH_hs_0038457
MYT1	PH_hs_0041167
MYT1	PH_hs_0014362
MYT1	
KIR2DL5B	PH_hs_0030695
KIR3DS1	
KIR2DL2	PH_hs_0038457
KIR3DL1	
KIR3DL2	PH_hs_0034845
KIR2DL5A	PH_hs_0030695
KIR2DS1	PH_hs_0028958
KIR3DL1	PH_hs_0028958
KIR2DL1	PH_hs_0030680
	PH_hs_0041167
KIR3DS1	PH_hs_0030680
SBNO2	PH_hs_0021041
SBNO2	
PTCHD3	PH_hs_0033765
PTCHD3	
KIR2DS1	
DNAH10	PH_hs_0035025
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	PH_hs_0028509
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	PH_hs_0000486
LINC02735	
CCDC92	
CCDC92	PH_hs_0024420
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	PH_hs_0040511
ZNF85	
SLC27A3	PH_hs_0005894
SLC27A3	PH_hs_0025689
SLC27A3	
	PH_hs_0038567
	PH_hs_0032360
KIR2DS5	PH_hs_0038235
BNIP3P24	
ZNF66	
ZNF66	PH_hs_0033800
PIWIL1	PH_hs_0024659
PIWIL1	
KRTAP9-2	PH_hs_0032601
KRTAP9-10P	
KRTAP9-4	
KRTAP9-6	
	PH_hs_0038803
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	
PPIAL4F	
DHX36	
DHX36	PH_hs_0000977
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	PH_hs_0026534
DLG5	
ARHGEF26	PH_hs_0012928
ARHGEF26	
LINC01839	
LINC02054	PH_hs_0007561
LINC02054	
RNU6-222P	
FTCD	
FTCD	PH_hs_0023648
ADI1	PH_hs_0026551
KRTAP9-9	PH_hs_0036641
TRAPPC12	
TRAPPC12	PH_hs_0000514
TRAPPC12	PH_hs_0030913
TRAPPC12	PH_hs_0033982
KRTAP9-3	PH_hs_0032600
	PH_hs_0027092
ARHGEF26-AS1	
SNTG2	
FTCD-AS1	
LSS	
LSS	PH_hs_0025849
TPO	
TPO	PH_hs_0022178
LINC01659	
SUDS3P1	
ZDHHC8P1	PH_hs_0018789
ZDHHC8P1	
PROP1	PH_hs_0009582
LINC00254	
HS3ST6	
MEIOB	
CES5AP1	
CES5AP1	PH_hs_0012110
LINC02124	
KRT20	PH_hs_0004807
KRT20	
KCNQ2-AS1	
FAM230I	PH_hs_0007159
FAM230I	PH_hs_0031634
	PH_hs_0019025
KCNQ2	
ERICH1	
KRTAP3-1	PH_hs_0034888
KRTAP3-2	PH_hs_0015812
ZNF965P	
GXYLT1P1	
