ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030198	extracellular matrix organization	68/279	318/18903	7.524847589892e-60	1.56458402642874e-56	1.05465271810612e-56	THSD4/ADAMTS15/ADAMTS10/VWA1/EFEMP2/MMP7/COL5A2/COL14A1/ADAM15/ADAM10/KAZALD1/TNF/ADAMTS7/IBSP/GAS6/EGFL6/CTSS/ADAMTS19/TNXB/COL4A5/ELN/LAMC1/ADAMTS8/ADAMTS6/MMP2/PLOD3/SULF1/CTSK/FMOD/ADAMTSL4/FBLN2/MMP24/LAMA1/COL12A1/TGFBI/COMP/PXDN/CTSV/TGFB1/MFAP4/CST3/MMP16/MMP25/ANXA2/COL18A1/LTBP3/FBLN1/LOX/MATN2/ADAMTS12/LUM/MMP17/ADAMTS5/MMP23B/POSTN/COL27A1/ADAMTS9/ADAM8/EMILIN1/MMP26/SERPINF2/P4HA1/COL5A3/LAMB1/LAMB3/ADAMTS1/LOXL1/MMP15	68
BP	GO:0043062	extracellular structure organization	68/279	319/18903	9.45653687778026e-60	1.56458402642874e-56	1.05465271810612e-56	THSD4/ADAMTS15/ADAMTS10/VWA1/EFEMP2/MMP7/COL5A2/COL14A1/ADAM15/ADAM10/KAZALD1/TNF/ADAMTS7/IBSP/GAS6/EGFL6/CTSS/ADAMTS19/TNXB/COL4A5/ELN/LAMC1/ADAMTS8/ADAMTS6/MMP2/PLOD3/SULF1/CTSK/FMOD/ADAMTSL4/FBLN2/MMP24/LAMA1/COL12A1/TGFBI/COMP/PXDN/CTSV/TGFB1/MFAP4/CST3/MMP16/MMP25/ANXA2/COL18A1/LTBP3/FBLN1/LOX/MATN2/ADAMTS12/LUM/MMP17/ADAMTS5/MMP23B/POSTN/COL27A1/ADAMTS9/ADAM8/EMILIN1/MMP26/SERPINF2/P4HA1/COL5A3/LAMB1/LAMB3/ADAMTS1/LOXL1/MMP15	68
BP	GO:0032963	collagen metabolic process	22/279	107/18903	2.88106186967496e-19	1.90668674535089e-16	1.28525686354552e-16	PCOLCE/MMP7/ADAM15/CTSS/TNXB/F2/MMP2/PLOD3/CTSK/MMP24/TGFB1/MFAP4/CST3/WNT4/MMP16/MMP25/MMP17/MMP23B/EMILIN1/MMP26/SERPINF2/MMP15	22
BP	GO:0001503	ossification	36/279	429/18903	2.80351736050637e-17	1.54613982431927e-14	1.04221987489702e-14	FGF9/COL5A2/FSTL3/PTN/KAZALD1/TNF/ADAMTS7/IBSP/FGF18/CLEC11A/IGF1/MMP2/ECM1/CHRD/CTSK/VCAN/SFRP1/CTHRC1/COMP/MGP/TGFB1/MDK/WNT4/MMP16/LTBP3/CLEC3B/CRIM1/LOX/WNT5A/ADAMTS12/IGF2/TNC/SPP1/CCL3/FAM20C/FBN2	36
BP	GO:0045785	positive regulation of cell adhesion	37/279	484/18903	2.04249354655066e-16	9.65515877933731e-14	6.50833657915916e-14	EFEMP2/IL1A/FSTL3/IL15/TNF/IGFBP2/IBSP/TGM2/CCL21/LGALS9/EGFL6/ANXA1/EBI3/EDIL3/LAMC1/IGF1/CHRD/FBLN2/COL26A1/LAMA1/SFRP1/MMRN1/ADAM9/CX3CL1/S100A10/MDK/WNT4/EPO/LIF/FGB/WNT5A/IGF2/CCL5/ADAM8/EMILIN1/SERPINF2/LAMB1	37
BP	GO:0042060	wound healing	35/279	442/18903	4.83355406689642e-16	1.99927880092003e-13	1.34767119312546e-13	F12/IL1A/LRG1/ANXA5/TNF/GAS6/PF4/HPSE/ANXA1/PDGFA/IGF1/F2/F10/COMP/MMRN1/CX3CL1/S100A10/NRG1/CD109/TGFB1/SERPINE1/SERPING1/WNT4/ANXA2/C1QTNF1/FGB/FBLN1/LOX/WNT5A/SERPINA10/EMILIN1/SERPINF2/TSKU/F13A1/TIMP1	35
BP	GO:0031589	cell-substrate adhesion	32/279	369/18903	7.25565955256951e-16	2.55851890081718e-13	1.72464301532713e-13	EFEMP2/FREM1/ADAM15/GAS6/CCL21/EGFL6/HPSE/TNXB/EDIL3/LAMC1/LAMA5/ANGPT2/FBLN2/COL26A1/SFRP1/LAMC3/ADAM9/CX3CL1/S100A10/MDK/SERPINE1/WNT4/MUC4/FGB/FBLN1/ADAMTS12/MEGF9/ADAMTS9/EMILIN1/COL5A3/LAMB1/LAMB3	32
BP	GO:0050920	regulation of chemotaxis	26/279	230/18903	7.73200030467566e-16	2.55851890081718e-13	1.72464301532713e-13	ADAM10/PLXNA3/PTN/IL34/GAS6/CCL21/LGALS9/PDGFD/CCL4/FGF18/SEMA4B/S100A14/SEMA6C/ANGPT2/SEMA4A/TGFB1/MDK/SERPINE1/VEGFB/WNT5A/SEMA4C/ARTN/CCL5/CCL3/MEGF8/SEMA3C	26
BP	GO:1901342	regulation of vasculature development	30/279	355/18903	1.23287794881331e-14	3.70872102965751e-12	2.49996973544059e-12	IL1A/LRG1/ADAM10/TNF/TNFSF12/PF4/EGLN1/HSPG2/FGF18/ANGPTL4/ECM1/SULF1/ANGPT2/SERPINF1/SFRP1/ADAM12/S100A1/SEMA4A/CCBE1/MDK/SERPINE1/WNT4/VEGFB/WNT5A/ADAMTS9/EMILIN1/DCN/PLXND1/ANXA3/ADAMTS1	30
BP	GO:0051216	cartilage development	23/279	201/18903	2.9437989987603e-14	8.11752573908152e-12	5.47185094594129e-12	FGF9/OGN/ADAMTS7/EFEMP1/FGF18/WNT9A/ECM1/SULF1/CTSK/HYAL2/TGFBI/COMP/MGP/TGFB1/HYAL3/BGN/MDK/LTBP3/WNT5A/ADAMTS12/COL27A1/TSKU/TIMP1	23
