ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	21/157	89/8577	3.79038306235313e-18	6.02670906914147e-16	4.70805475113336e-16	341640/158326/80144/3918/3381/7148/1287/3339/3915/3911/284217/1311/10319/3909/3371/375790/6696/3912/3914/1292/3910	21
hsa04060	Cytokine-cytokine receptor interaction	31/157	297/8577	1.3685507489108e-15	1.08799784538409e-13	8.49942044060391e-14	9518/3552/27189/3600/146433/7124/3596/6366/8742/5196/6351/10148/1440/1489/8743/4803/6376/9547/10220/7040/6358/2056/3976/23529/2920/4050/3626/6352/3589/6348/8741	31
hsa04151	PI3K-Akt signaling pathway	29/157	359/8577	9.12793692441352e-12	4.83780656993916e-10	3.77928616519577e-10	2254/3918/3381/80310/7148/1287/5154/8817/1440/3915/3479/3911/285/284217/4803/1311/10319/56034/2056/7423/3909/3481/3371/9048/6696/3912/3914/1292/3910	29
hsa04510	Focal adhesion	21/157	203/8577	9.62450283325047e-11	3.82573987621706e-09	2.98866140611462e-09	3918/3381/80310/7148/1287/5154/3915/3479/3911/284217/1311/10319/56034/7423/3909/3371/6696/3912/3914/1292/3910	21
hsa05146	Amoebiasis	13/157	102/8577	3.61122492713229e-08	1.14836952682807e-06	8.971042976876e-07	7124/3918/1287/3915/3911/284217/10319/7040/3909/2920/3912/3914/3910	13
hsa04610	Complement and coagulation cascades	12/157	86/8577	4.41560687347484e-08	1.17013582147083e-06	9.14108089596545e-07	2161/713/2147/714/2159/5054/710/2244/5345/712/5104/2162	12
hsa04061	Viral protein interaction with cytokine and cytokine receptor	12/157	100/8577	2.43299409779212e-07	5.5263723078421e-06	4.31719253442812e-06	146433/7124/6366/5196/6351/8743/6376/9547/6358/2920/6352/6348	12
hsa05323	Rheumatoid arthritis	11/157	93/8577	9.11744418310954e-07	1.81209203139302e-05	1.41560317579859e-05	3552/3600/7124/1513/7040/2920/4050/6352/3589/6348/8741	11
hsa05165	Human papillomavirus infection	20/157	331/8577	2.34428730160442e-06	4.05278650114503e-05	3.16602983869655e-05	7124/3918/3381/7148/1287/3915/7483/3911/284217/1311/10319/54361/3909/7474/3371/6696/3912/3914/1292/3910	20
hsa04974	Protein digestion and absorption	11/157	103/8577	2.54892232776417e-06	4.05278650114503e-05	3.16602983869655e-05	1290/7373/1287/2006/136227/1303/81578/80781/85301/50509/1292	11
hsa05145	Toxoplasmosis	11/157	111/8577	5.33307762548821e-06	7.70872129502387e-05	6.02203980677138e-05	7124/3918/3915/3911/284217/10319/7040/3909/3912/3914/3910	11
hsa05222	Small cell lung cancer	10/157	92/8577	6.30577103713599e-06	8.35514662420519e-05	6.52702616124603e-05	3918/1287/3915/3911/284217/10319/3909/3912/3914/3910	10
hsa05205	Proteoglycans in cancer	14/157	205/8577	2.19593153256078e-05	0.000268579318213203	0.000209813701086779	7124/10855/3339/3479/7483/4313/2817/7040/54361/7474/4060/3481/1634/6383	14
hsa04350	TGF-beta signaling pathway	10/157	108/8577	2.63570922927492e-05	0.000299341262467651	0.000233844878988301	79875/2200/10637/7124/8646/2331/7040/3626/1634/4052	10
hsa04657	IL-17 signaling pathway	9/157	94/8577	5.1703248094469e-05	0.000548054429801371	0.000428139177203322	27189/7124/3596/1440/727897/4586/2920/338324/6280	9
hsa04142	Lysosome	10/157	132/8577	0.000145926988381001	0.00145014944703619	0.00113285425190514	1520/5476/1513/1521/8692/1515/8372/1519/1509/1522	10
hsa04210	Apoptosis	10/157	136/8577	0.000186729781892564	0.00174647266593633	0.00136434144045341	7124/1520/8743/1513/1521/4803/1515/1519/1509/1522	10
hsa05142	Chagas disease	8/157	102/8577	0.00053905433447683	0.004761646621212	0.00371979014434304	713/7124/714/7040/5054/6352/712/6348	8
hsa04010	MAPK signaling pathway	14/157	301/8577	0.00121147516797221	0.010138134300399	0.00791989306485986	2254/3552/7124/80310/5154/8817/3479/285/4803/7040/56034/7423/3481/9048	14
hsa05218	Melanoma	6/157	72/8577	0.00197357668490869	0.0156899346450241	0.012256949937854	2254/80310/5154/8817/3479/56034	6
hsa05144	Malaria	5/157	50/8577	0.00210280871423868	0.0159212659792357	0.0124376655779531	7124/1440/1311/7040/6383	5
hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/157	100/8577	0.00232248415226967	0.0167852263732217	0.0131125899506134	3552/7124/1287/4313/7040/5054/7423	7
hsa05133	Pertussis	6/157	76/8577	0.00260123047435632	0.0179824193662024	0.0140478350560204	713/3552/7124/714/710/712	6
hsa01521	EGFR tyrosine kinase inhibitor resistance	6/157	79/8577	0.00316240939219316	0.0209509622232797	0.0163668556262628	2621/80310/5154/3479/3084/56034	6
hsa04630	JAK-STAT signaling pathway	9/157	166/8577	0.00336671823839641	0.0214123279962012	0.0167272737739274	3600/3596/5154/1440/1489/2056/3976/23529/3589	9
hsa04066	HIF-1 signaling pathway	7/157	109/8577	0.0037719125214834	0.0230666958044562	0.0180196630580989	54583/3479/285/5054/2056/112398/7076	7
hsa04310	Wnt signaling pathway	9/157	171/8577	0.00409775602096428	0.0241312299012341	0.0188512752621359	4316/7483/5176/6422/54361/6424/7474/6425/84870	9
hsa00531	Glycosaminoglycan degradation	3/157	19/8577	0.00470084108849529	0.026694061895384	0.0208533552046032	10855/8692/8372	3
hsa04360	Axon guidance	9/157	182/8577	0.00614209695889127	0.0336756350504728	0.026307348136086	55558/9423/10509/10500/64218/54361/7474/54910/10512	9
hsa04970	Salivary secretion	6/157	93/8577	0.0070397856741872	0.0373108640731922	0.0291471827913716	1472/727897/1471/4586/1470/1469	6
hsa04062	Chemokine signaling pathway	9/157	192/8577	0.00861364065308821	0.0441796407690653	0.0345130593230699	6366/5196/6351/6376/9547/6358/2920/6352/6348	9
hsa04014	Ras signaling pathway	10/157	236/8577	0.0112981642235011	0.0561377534855209	0.0438547163938528	2254/80310/5154/8817/3479/285/4803/56034/7423/3481	10
hsa04620	Toll-like receptor signaling pathway	6/157	104/8577	0.0119039956901637	0.0573556155980616	0.0448061081798826	7124/6351/1513/6352/6696/6348	6
hsa04015	Rap1 signaling pathway	9/157	210/8577	0.0148817586736151	0.0695941067383765	0.0543667963927734	2254/80310/5154/8817/3479/285/4803/56034/7423	9
hsa04550	Signaling pathways regulating pluripotency of stem cells	7/157	143/8577	0.0158481296800143	0.0719957891177794	0.0562429865335847	10637/3479/7483/54361/3976/7474/3626	7
hsa04668	TNF signaling pathway	6/157	114/8577	0.0180476167952247	0.0797103075122425	0.0622695550244595	3600/7124/6376/3976/2920/6352	6
hsa05321	Inflammatory bowel disease	4/157	65/8577	0.0308904747812675	0.132745553789771	0.103700598127726	3552/7124/3596/7040	4
hsa04640	Hematopoietic cell lineage	5/157	99/8577	0.0349016422567658	0.146035818916468	0.114082930368376	3552/7124/1440/2056/3589	5
hsa04064	NF-kappa B signaling pathway	5/157	104/8577	0.041778450492885	0.167330997046801	0.130718686868736	7124/6366/6351/2920/4050	5
hsa05418	Fluid shear stress and atherosclerosis	6/157	139/8577	0.0420958483136606	0.167330997046801	0.130718686868736	3552/7124/5154/4313/2817/6383	6
hsa04928	Parathyroid hormone synthesis, secretion and action	5/157	106/8577	0.0447430381554078	0.173515684553899	0.135550154103674	10893/4325/64386/4326/4324	5
hsa05224	Breast cancer	6/157	147/8577	0.0527216019372078	0.199588921619429	0.155918522019813	2254/8817/3479/7483/54361/7474	6
hsa05226	Gastric cancer	6/157	149/8577	0.0556118942523528	0.205634678747072	0.16064145708146	2254/8817/7483/7040/54361/7474	6
hsa04672	Intestinal immune network for IgA production	3/157	49/8577	0.060150815390998	0.217363173799288	0.169803737228176	3600/7040/8741	3
hsa05171	Coronavirus disease - COVID-19	8/157	232/8577	0.062753005571486	0.221727286352584	0.173212974442932	713/7124/1440/2147/714/2244/712/2162	8
hsa05410	Hypertrophic cardiomyopathy	4/157	90/8577	0.0826530125172863	0.28569193457062	0.223182047529515	7124/3479/284217/7040	4
hsa05414	Dilated cardiomyopathy	4/157	96/8577	0.0990336201795647	0.335028629969166	0.261723789052377	7124/3479/284217/7040	4
hsa05215	Prostate cancer	4/157	97/8577	0.10190119951461	0.337547723392144	0.263691700498332	80310/5154/3479/56034	4
hsa05217	Basal cell carcinoma	3/157	63/8577	0.108199889085234	0.348950512420002	0.272599539659452	7483/54361/7474	3
hsa05310	Asthma	2/157	31/8577	0.109732865540881	0.348950512420002	0.272599539659452	7124/3596	2
hsa04936	Alcoholic liver disease	5/157	142/8577	0.118958345919651	0.370870137278911	0.289723112869325	713/7124/714/2920/712	5
hsa05211	Renal cell carcinoma	3/157	69/8577	0.132218131267824	0.404282362915077	0.315824686024356	54583/7040/112398	3
