ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0030198	extracellular matrix organization	62/246	318/18903	1.92131870456489e-55	3.80455686744905e-52	2.53935433375752e-52	ADAMTS15/ADAMTS10/VWA1/EFEMP2/MMP7/COL5A2/COL14A1/ADAM10/KAZALD1/TNF/ADAMTS7/GAS6/CTSS/ADAMTS19/TNXB/COL4A5/ELN/LAMC1/ADAMTS8/PLOD3/ADAMTS6/MMP2/SULF1/CTSK/FMOD/ADAMTSL4/FBLN2/MMP24/LAMA1/COL12A1/TGFBI/COMP/PXDN/TGFB1/CTSV/MFAP4/CST3/MMP16/MMP25/ANXA2/COL18A1/LTBP3/FBLN1/LOX/MATN2/ADAMTS12/LUM/MMP17/MMP23B/POSTN/COL27A1/ADAMTS9/ADAM8/EMILIN1/SERPINF2/P4HA1/COL5A3/LAMB1/LAMB3/ADAMTS1/LOXL1/MMP15	62
BP	GO:0043062	extracellular structure organization	62/246	319/18903	2.36161195993113e-55	3.80455686744905e-52	2.53935433375752e-52	ADAMTS15/ADAMTS10/VWA1/EFEMP2/MMP7/COL5A2/COL14A1/ADAM10/KAZALD1/TNF/ADAMTS7/GAS6/CTSS/ADAMTS19/TNXB/COL4A5/ELN/LAMC1/ADAMTS8/PLOD3/ADAMTS6/MMP2/SULF1/CTSK/FMOD/ADAMTSL4/FBLN2/MMP24/LAMA1/COL12A1/TGFBI/COMP/PXDN/TGFB1/CTSV/MFAP4/CST3/MMP16/MMP25/ANXA2/COL18A1/LTBP3/FBLN1/LOX/MATN2/ADAMTS12/LUM/MMP17/MMP23B/POSTN/COL27A1/ADAMTS9/ADAM8/EMILIN1/SERPINF2/P4HA1/COL5A3/LAMB1/LAMB3/ADAMTS1/LOXL1/MMP15	62
BP	GO:0045229	external encapsulating structure organization	62/246	321/18903	3.55997194854975e-55	3.82340987274243e-52	2.55193778627619e-52	ADAMTS15/ADAMTS10/VWA1/EFEMP2/MMP7/COL5A2/COL14A1/ADAM10/KAZALD1/TNF/ADAMTS7/GAS6/CTSS/ADAMTS19/TNXB/COL4A5/ELN/LAMC1/ADAMTS8/PLOD3/ADAMTS6/MMP2/SULF1/CTSK/FMOD/ADAMTSL4/FBLN2/MMP24/LAMA1/COL12A1/TGFBI/COMP/PXDN/TGFB1/CTSV/MFAP4/CST3/MMP16/MMP25/ANXA2/COL18A1/LTBP3/FBLN1/LOX/MATN2/ADAMTS12/LUM/MMP17/MMP23B/POSTN/COL27A1/ADAMTS9/ADAM8/EMILIN1/SERPINF2/P4HA1/COL5A3/LAMB1/LAMB3/ADAMTS1/LOXL1/MMP15	62
BP	GO:0030199	collagen fibril organization	19/246	64/18903	3.83533738923144e-21	3.08936426702593e-18	2.06199849636838e-18	EFEMP2/COL5A2/COL14A1/ADAMTS7/TNXB/PLOD3/FMOD/COL12A1/COMP/PXDN/ANXA2/LOX/ADAMTS12/LUM/EMILIN1/SERPINF2/P4HA1/COL5A3/LOXL1	19
BP	GO:0032963	collagen metabolic process	20/246	107/18903	7.81502710353617e-18	5.03600346551871e-15	3.3612842889525e-15	PCOLCE/MMP7/CTSS/TNXB/F2/PLOD3/MMP2/CTSK/MMP24/TGFB1/MFAP4/CST3/WNT4/MMP16/MMP25/MMP17/MMP23B/EMILIN1/SERPINF2/MMP15	20
BP	GO:0001503	ossification	34/246	429/18903	2.60454331740556e-17	1.39863976144678e-14	9.33523157449044e-15	FGF9/COL5A2/FSTL3/PTN/KAZALD1/TNF/ADAMTS7/FGF18/CLEC11A/IGF1/ECM1/MMP2/CTSK/VCAN/SFRP1/CTHRC1/COMP/MGP/TGFB1/MDK/WNT4/MMP16/LTBP3/CLEC3B/CRIM1/LOX/WNT5A/ADAMTS12/IGF2/TNC/SPP1/CCL3/FAM20C/FBN2	34
BP	GO:0051216	cartilage development	23/246	201/18903	1.9345265646876e-15	8.9043494163192e-13	5.9432146942207e-13	FGF9/OGN/ADAMTS7/EFEMP1/FGF18/WNT9A/ECM1/SULF1/CTSK/HYAL2/TGFBI/COMP/MGP/TGFB1/HYAL3/BGN/MDK/LTBP3/WNT5A/ADAMTS12/COL27A1/TSKU/TIMP1	23
BP	GO:0050920	regulation of chemotaxis	24/246	230/18903	3.78790741895114e-15	1.52557971298257e-12	1.01824932327858e-12	ADAM10/PLXNA3/PTN/GAS6/CCL21/LGALS9/PDGFD/CCL4/FGF18/SEMA4B/S100A14/SEMA6C/ANGPT2/SEMA4A/TGFB1/MDK/VEGFB/WNT5A/SEMA4C/ARTN/CCL5/CCL3/MEGF8/SEMA3C	24
BP	GO:0045785	positive regulation of cell adhesion	33/246	484/18903	6.4560255335957e-15	2.31125714102726e-12	1.54265031171181e-12	EFEMP2/IL1A/FSTL3/IL15/TNF/IGFBP2/CCL21/LGALS9/ANXA1/EBI3/EDIL3/LAMC1/IGF1/FBLN2/COL26A1/LAMA1/SFRP1/MMRN1/ADAM9/CX3CL1/S100A10/MDK/WNT4/EPO/LIF/FGB/WNT5A/IGF2/CCL5/ADAM8/EMILIN1/SERPINF2/LAMB1	33
BP	GO:0042060	wound healing	31/246	442/18903	2.12957618818646e-14	6.20180187866564e-12	4.13939731389915e-12	F12/IL1A/LRG1/ANXA5/TNF/GAS6/PF4/ANXA1/PDGFA/IGF1/F2/F10/COMP/MMRN1/CX3CL1/S100A10/TGFB1/SERPING1/WNT4/ANXA2/C1QTNF1/FGB/FBLN1/LOX/WNT5A/SERPINA10/EMILIN1/SERPINF2/TSKU/F13A1/TIMP1	31
BP	GO:0061448	connective tissue development	25/246	274/18903	2.25131076237454e-14	6.20180187866564e-12	4.13939731389915e-12	FGF9/OGN/ADAMTS7/PDGFD/EFEMP1/FGF18/WNT9A/ECM1/SULF1/CTSK/HYAL2/TGFBI/COMP/MGP/TGFB1/HYAL3/BGN/MDK/LTBP3/LOX/WNT5A/ADAMTS12/COL27A1/TSKU/TIMP1	25
BP	GO:1901342	regulation of vasculature development	28/246	355/18903	2.30979585797603e-14	6.20180187866564e-12	4.13939731389915e-12	IL1A/LRG1/ADAM10/TNF/TNFSF12/PF4/EGLN1/HSPG2/FGF18/ANGPTL4/ECM1/SULF1/ANGPT2/SERPINF1/SFRP1/ADAM12/S100A1/SEMA4A/MDK/WNT4/VEGFB/WNT5A/ADAMTS9/EMILIN1/DCN/PLXND1/ANXA3/ADAMTS1	28
BP	GO:0031589	cell-substrate adhesion	27/246	369/18903	4.18741194687624e-13	1.03783394560271e-10	6.92703045139122e-11	EFEMP2/FREM1/GAS6/CCL21/TNXB/EDIL3/LAMC1/LAMA5/ANGPT2/FBLN2/COL26A1/SFRP1/LAMC3/ADAM9/CX3CL1/S100A10/MDK/WNT4/FGB/FBLN1/ADAMTS12/MEGF9/ADAMTS9/EMILIN1/COL5A3/LAMB1/LAMB3	27
BP	GO:0085029	extracellular matrix assembly	12/246	46/18903	4.74582283940776e-13	1.09221722775513e-10	7.29001207587222e-11	EFEMP2/GAS6/TNXB/PLOD3/PXDN/TGFB1/MFAP4/LTBP3/LOX/EMILIN1/LAMB1/LAMB3	12
BP	GO:0045765	regulation of angiogenesis	26/246	349/18903	7.73662668806262e-13	1.66182741259585e-10	1.10918795254119e-10	IL1A/LRG1/TNF/TNFSF12/PF4/EGLN1/HSPG2/FGF18/ANGPTL4/ECM1/SULF1/ANGPT2/SERPINF1/SFRP1/ADAM12/S100A1/SEMA4A/MDK/VEGFB/WNT5A/ADAMTS9/EMILIN1/DCN/PLXND1/ANXA3/ADAMTS1	26
BP	GO:0060348	bone development	21/246	233/18903	3.73658686583795e-12	7.52455180108118e-10	5.02226774138614e-10	FREM1/OGN/FBN1/ADAMTS7/FGF18/IGF1/ECM1/SULF1/COMP/BGN/PDGFC/MMP16/ANXA2/LTBP3/SFRP4/LOX/ADAMTS12/COL27A1/TSKU/FAM20C/MEGF8	21
BP	GO:0010466	negative regulation of peptidase activity	22/246	263/18903	5.00592290846107e-12	9.48769624180092e-10	6.33256997026995e-10	CPAMD8/CSTB/TNF/GAS6/SERPINA3/ECM1/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/SLPI/CST2/SERPINA10/SERPINF2/CST1/PZP/TIMP1	22
BP	GO:0022612	gland morphogenesis	16/246	123/18903	5.70203891379437e-12	1.02066496556919e-09	6.81243596542801e-10	PTN/TNF/NTN1/PDGFA/MMP2/LAMA5/SULF1/LAMA1/SFRP1/TGFB1/MDK/WNT4/WNT5A/TNC/PLXND1/SEMA3C	16
BP	GO:0050921	positive regulation of chemotaxis	17/246	144/18903	6.03779114536103e-12	1.0238822668607e-09	6.83390986702082e-10	ADAM10/PTN/GAS6/CCL21/LGALS9/PDGFD/CCL4/FGF18/S100A14/TGFB1/MDK/VEGFB/WNT5A/ARTN/CCL5/CCL3/MEGF8	17
BP	GO:0071560	cellular response to transforming growth factor beta stimulus	22/246	271/18903	9.07359010562973e-12	1.39587851434318e-09	9.31680160999416e-10	GDF15/FBN1/LRG1/LEFTY1/PDGFD/PDGFA/HTRA3/CTSK/FMOD/SFRP1/HYAL2/ADAM9/TGFB1/WNT4/LTBP3/CLEC3B/LOX/WNT5A/EMILIN1/LTBP1/LTBP4/FBN2	22
BP	GO:0002687	positive regulation of leukocyte migration	17/246	148/18903	9.44335173876025e-12	1.39587851434318e-09	9.31680160999416e-10	IL1A/ADAM10/PTN/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/S100A14/CX3CL1/MDK/VEGFB/WNT5A/CCL5/ADAM8/CCL3	17
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	26/246	390/18903	9.64046919879581e-12	1.39587851434318e-09	9.31680160999416e-10	GDF15/FGF9/FBN1/LRG1/FSTL3/LEFTY1/HTRA3/SULF1/FMOD/SFRP1/COMP/ADAM9/TGFB1/GDF11/LTBP3/SFRP4/CRIM1/LOX/WNT5A/SFRP5/EMILIN1/LTBP1/LTBP4/MEGF8/FBN2/FSTL1	26
BP	GO:0030574	collagen catabolic process	11/246	45/18903	9.96437176595068e-12	1.39587851434318e-09	9.31680160999416e-10	MMP7/CTSS/MMP2/CTSK/MMP24/CST3/MMP16/MMP25/MMP17/MMP23B/MMP15	11
BP	GO:0071559	response to transforming growth factor beta	22/246	277/18903	1.39810236180681e-11	1.87695242072564e-09	1.25277330051373e-09	GDF15/FBN1/LRG1/LEFTY1/PDGFD/PDGFA/HTRA3/CTSK/FMOD/SFRP1/HYAL2/ADAM9/TGFB1/WNT4/LTBP3/CLEC3B/LOX/WNT5A/EMILIN1/LTBP1/LTBP4/FBN2	22
BP	GO:0010951	negative regulation of endopeptidase activity	21/246	252/18903	1.67420091808111e-11	2.1091037548893e-09	1.40772288256358e-09	CPAMD8/CSTB/TNF/GAS6/SERPINA3/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/SLPI/CST2/SERPINA10/SERPINF2/CST1/PZP/TIMP1	21
BP	GO:0090287	regulation of cellular response to growth factor stimulus	24/246	338/18903	1.70194592262948e-11	2.1091037548893e-09	1.40772288256358e-09	FGF9/FBN1/LRG1/FSTL3/FGF18/HTRA3/SULF1/GPC1/SFRP1/TGFB1/WNT4/SFRP4/CRIM1/LOX/WNT5A/ADAMTS12/SFRP5/EMILIN1/DCN/LTBP1/FAM20C/LTBP4/FBN2/FSTL1	24
BP	GO:0032102	negative regulation of response to external stimulus	27/246	436/18903	2.05676511054191e-11	2.41786224510092e-09	1.6138039683561e-09	F12/PLXNA3/TNF/IL13/LGALS9/PDGFA/SEMA4B/IGF1/F2/SEMA6C/ANGPT2/SERPINF1/MMRN1/CX3CL1/SEMA4A/MDK/SERPING1/WNT4/CST7/ANXA2/C1QTNF1/FGB/WNT5A/SEMA4C/SPP1/SERPINF2/SEMA3C	27
BP	GO:0022617	extracellular matrix disassembly	12/246	62/18903	2.19226072482388e-11	2.41786224510092e-09	1.6138039683561e-09	ADAMTS15/MMP7/ADAM10/CTSS/LAMC1/MMP2/CTSK/TGFB1/CTSV/CST3/ADAM8/MMP15	12
BP	GO:0051346	negative regulation of hydrolase activity	25/246	373/18903	2.20381072554947e-11	2.41786224510092e-09	1.6138039683561e-09	CPAMD8/CSTB/TNF/GAS6/ANXA1/EGLN1/ANGPTL4/SERPINA3/ECM1/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/SLPI/CST2/SERPINA10/SERPINF2/CST1/PZP/TIMP1	25
BP	GO:0002062	chondrocyte differentiation	15/246	114/18903	2.25126838463773e-11	2.41786224510092e-09	1.6138039683561e-09	FGF9/ADAMTS7/EFEMP1/FGF18/WNT9A/ECM1/SULF1/TGFBI/COMP/TGFB1/MDK/LTBP3/ADAMTS12/COL27A1/TSKU	15
BP	GO:0002685	regulation of leukocyte migration	20/246	231/18903	2.58951038856323e-11	2.69142015224217e-09	1.79639039858563e-09	IL1A/ADAM10/PTN/TNF/GAS6/CCL21/LGALS9/PDGFD/ANXA1/CCL4/ECM1/S100A14/CX3CL1/MDK/VEGFB/WNT5A/CCL5/ADAM8/EMILIN1/CCL3	20
BP	GO:0070555	response to interleukin-1	16/246	141/18903	4.71663116667513e-11	4.74905800594602e-09	3.1697623268149e-09	ADAMTS7/CCL21/LGALS9/ANXA1/CCL4/MMP2/SFRP1/HYAL2/CX3CL1/HYAL3/CCL14/EPO/FGB/ADAMTS12/CCL5/CCL3	16
BP	GO:0052547	regulation of peptidase activity	27/246	459/18903	6.61054057941009e-11	6.45429143844221e-09	4.30792165988351e-09	PCOLCE/CPAMD8/CSTB/TNF/GAS6/LGALS9/SERPINA3/TNFSF10/ECM1/SERPINF1/CST4/NGF/SERPINB1/CST3/SERPING1/CST7/ANXA2/CRIM1/FBLN1/SLPI/CST2/SERPINA10/CTSD/SERPINF2/CST1/PZP/TIMP1	27
BP	GO:0043410	positive regulation of MAPK cascade	28/246	496/18903	7.44361148817621e-11	7.05391653379522e-09	4.70814187936347e-09	GDF15/IL1A/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/PDGFA/FGF18/IGF1/ADAM9/CX3CL1/TGFB1/PDGFC/CCL14/EPO/LIF/C1QTNF1/FGB/WNT5A/IGF2/SEMA4C/CCL5/ADAM8/SERPINF2/CCL3/IGFBP6	28
BP	GO:0032103	positive regulation of response to external stimulus	27/246	464/18903	8.43740633281886e-11	7.76723520124068e-09	5.18424695878163e-09	ADAM10/IL15/PTN/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/FGF18/COLEC11/F2/S100A14/LGALS2/HYAL2/CX3CL1/TGFB1/MDK/VEGFB/WNT5A/ARTN/CCL5/ADAM8/EMILIN1/SERPINF2/CCL3/MEGF8	27
BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	19/246	223/18903	1.09238665786197e-10	9.77686058786459e-09	6.52557292985964e-09	IL1A/TNF/GAS6/CCL21/LGALS9/PDGFD/CCL4/PDGFA/FGF18/IGF1/CX3CL1/TGFB1/PDGFC/CCL14/EPO/FGB/CCL5/SERPINF2/CCL3	19
