symbol	GSM109814	GSM109815	GSM109816	GSM109817	GSM150196	GSM150197	GSM150198	GSM150199	GSM150201	GSM1256720	GSM1256722	GSM1256723	GSM1256726	GSM1256729	GSM1256731	GSM1256733	GSM1256734	GSM1256739	GSM1256741	GSM1256742	GSM1256744	GSM1256745	GSM1256748	GSM1256753	GSM1256754	GSM1256756	GSM1256759	GSM1256760	GSM1256761	GSM1256762	GSM1256763	GSM1256770	GSM1256771	GSM1256772	GSM1256784	GSM1256785	GSM1256786	GSM1256788	GSM1256793	GSM1256794	GSM1256796	GSM1256798	GSM1256799	GSM1256800
CCL14	7.42723874327799	7.38690272649445	7.75543465729068	7.52137988073595	7.67072061968346	7.71405163414345	7.68172110918792	7.8953630522241	7.81351399423721	7.26804379477848	7.21480959401845	7.61482247539728	7.34818953363079	7.55067707129147	7.67522600806333	7.22287610222157	7.30403049406803	8.39161604876189	7.72609994395718	7.87202141003474	8.02850767752769	8.17516074321318	7.65002478573877	7.78496246112009	7.05641037814327	8.16345043256684	8.25707175540902	7.93090124455202	7.37668054093617	7.70475610838997	8.20661056906577	7.3973721793078	7.56215396804249	7.56548950458276	7.04237259016723	7.31443319911588	7.19917522806063	7.63314296571364	7.1426890393167	7.15629360224037	7.50444330902546	7.22415327090966	7.26288096052367	7.25049831229938
CCL21	7.3811232291808	7.23013323102781	6.97562134791895	7.46670514299607	6.85848530607232	7.53375439329432	7.37367106862181	6.99956569131434	7.59057682970514	6.47737050705782	6.49373074083774	7.12875773205325	6.50888702617221	6.72084253656429	6.85592270302946	6.68861222001373	6.8335664196879	7.89304082037769	7.41923469647767	6.95668194813296	6.94180746727972	7.50697130657616	7.15001897806063	6.69614534490444	7.26260398373796	7.29287433223991	7.33569678445088	7.17339231287837	7.48763876832435	6.81622341777668	7.64350012725836	6.87512589916374	6.66425048853676	6.93630676492748	6.24122087295469	6.67499535969584	6.70738003905836	6.60135985026889	6.27424809982727	6.6917252323653	6.64859604283377	6.52794663412038	6.6580731697531	6.26148669814849
CCL3	8.22136463027312	5.83830832938924	6.20588943113909	5.92908946221657	7.26190181041522	8.33610588804008	6.10073528771508	6.42217904337882	6.2602121076299	6.27718273919308	5.70292929630094	6.83886651060616	5.80585338947652	6.29906556339172	6.50476171673257	5.92426339972008	6.35796393778431	7.24857263176713	7.40551719333416	7.99675812894419	7.64398540943906	7.6169015640513	7.49372869393543	7.33073628717254	7.23107331391596	7.25976712234146	7.40846237373807	7.46680679194988	7.30506665803628	7.93305468059914	7.05121184575647	5.59994436730629	5.67171465940284	5.54516715219349	5.45021344181603	5.53979833705807	5.72704783394408	7.5114543969612	6.1254747352005	6.98873158359088	5.9996824289313	6.54153277758348	6.21264235566051	5.99838442313811
CCL5	7.82658086892487	7.29616950646216	6.99019701129332	7.64498325980976	7.62920968998528	7.95433726260585	7.46210177236693	7.07131897602654	7.80761769992548	6.51929435799532	6.88172212720654	7.77554458513499	6.74420646755413	7.54138407342578	7.82824749048948	7.04179810232949	7.77222510118089	8.3650523377147	7.90565652116915	7.6770805166837	8.48387693283894	7.6337076234912	7.94695267654127	7.50703697330891	7.39785371842038	8.44231324348436	7.43011153253038	8.31702759109749	7.7950365730144	8.42281194672227	8.05880730586862	6.56848883797201	6.13862484079993	6.86148213643657	6.37969533041377	6.8026744317012	7.14292157698838	7.78736057846053	7.15344910664174	7.17443843758481	7.20839610166655	7.75138022590246	7.19396399148332	6.80683218972587
COL6A2	9.65599489406289	9.42447403934748	9.67395972814767	10.0717686282385	9.77101645196498	9.829490195718	9.59733194753123	9.87718129082054	10.2096050183419	9.12582132616618	9.31005400765851	9.38022031995303	9.35232535765181	9.24436250867614	9.4156967108043	9.2841949633377	9.29038919088866	10.1818954166653	9.8998694202634	9.98876879593791	9.82408323462773	10.1737519091874	10.0216392729479	9.97183654064306	9.73600638230321	10.1102923501809	9.97157762444628	9.9057203911561	9.83891524738002	9.99714605318286	9.85773697595931	9.48469568691364	9.59536676659944	9.75306446772254	8.94551029629312	9.38867093161125	9.25142608956999	9.62294241618968	9.22154798027307	9.50702267574246	9.39610245164835	9.27206700916194	9.07169975290739	8.99080652579044
COMP	5.28766875406544	5.47940174289252	6.07042669827742	5.88333933032957	6.0357629477718	5.73715380684451	5.99560741647329	6.56193190101264	6.29530954680404	5.75190790982486	5.88924474489679	6.99232957247071	5.83757700681731	5.89473532396176	6.37340867897056	5.89940851265653	5.73439904435077	6.46674839461971	6.40060798099851	6.59911008618594	6.88869486209749	9.1297371671796	7.1428431305458	6.11579976094336	6.36198393387032	6.6899057700204	6.61944376845387	7.1055543418208	6.64002924333158	7.03180149690595	6.70821612567979	6.07793629274758	6.23806327835839	6.37498315908052	5.78335999864147	5.81299041621214	5.93989141760322	5.92563341824748	6.08057785407486	5.95288458038774	5.8790506168345	5.85079097130688	5.7453949608403	5.86315147474395
CSF3	6.97828482534318	7.28218511153266	7.47945918663346	7.11106157913345	7.31431613546719	7.05905127540372	7.35030767975312	7.39713809055643	7.17233914237114	6.82647157581658	6.92181608572841	6.91543461167905	6.82482103643185	6.95720352469238	6.76806892073058	6.92637842609272	6.8491148414765	7.38924635935948	7.17940329166897	7.17561631376742	7.22839827679068	7.52624769182544	7.23946409246734	7.08996194786484	7.19768081607118	7.46061272084139	7.28592156956521	7.25326804223176	7.17646773086335	7.36699271591076	7.42723701673071	7.14708700704113	7.18098435549388	7.05942170590881	6.85326740633521	6.86419790059723	6.92632171024061	6.87796500810163	6.88980580603131	7.04761435212402	7.01938006633079	6.85210859740705	6.92697697433252	6.9646097390353
CX3CL1	7.40018864499724	7.08992580406988	6.62362879521577	7.4618163360639	7.66410485849741	7.49028714039837	7.19535070944322	6.77947706238352	7.52892142815827	6.65877553874853	6.57221652528682	6.99935099406423	6.65020536440646	6.8999624566191	7.25569040130675	6.69519464554329	6.76779766535876	7.23233484389133	7.17543197209141	7.09396946555026	7.71589553615159	7.77554057126162	7.31855048198704	7.00659390514478	7.10755837724921	7.11836825965039	7.1768868342283	8.32124216868117	7.06498397157767	7.78907037874692	7.24679975278327	6.87746398767423	6.66489954076478	6.95707930567347	6.57048900058809	6.68834904883187	6.77038114933388	6.95319122384946	6.71258454487375	6.70396791433189	6.81016043437969	6.76990766393374	6.5313819491702	6.49505206659561
CXCL14	5.65439672941676	5.73177690610149	5.52950363357637	6.50770439277765	6.1215001549133	6.64902497877831	6.81342198046747	6.57703490273017	7.49500247559295	6.7420785190001	7.07227791465146	8.08847455421666	7.21940209501314	7.12199408408041	7.14731617722569	7.64180339746734	7.19535241817266	8.45768329797797	7.25385651575539	6.84120621974828	6.21537047017331	9.579842861568	7.98360127088622	6.41160962440928	5.78941033188928	7.79904756464651	7.25099092059434	6.02061844604008	9.66997984828077	7.20604743589663	9.16969401196231	6.34721542990286	6.14106902275034	7.10670200466292	6.5941697172908	8.30632262529216	6.99785255628005	8.76708642959897	6.16170757987166	6.34907215081557	5.93861844144706	6.99971455764769	6.63426910027492	6.64020958947397
EBI3	6.12051726977318	6.19220553532398	6.61227924834184	6.57789204169639	6.20465755177433	6.21881917975527	6.37491151503556	6.45427668212054	6.48233051530713	6.15354899810425	6.14866270263522	6.17581669455252	6.18493894239039	6.10754192327766	6.21267955708326	6.10859849237007	6.12262049674329	6.44943791736195	6.32205645784805	6.33803867427978	6.45231498846444	6.54684717084582	6.27016438572351	6.24680647207967	6.21863224441168	6.50720339139518	6.37913728954567	6.61991268488879	6.33207686044448	6.49730764156919	6.4094785295602	6.29778516353061	6.31562334412951	6.30125047722769	6.01430140475123	6.11503439898347	5.99790478816846	6.18177309260362	6.04199250848067	6.09616397159614	6.11981920192331	6.07695374234339	6.05341329132778	6.0481498232336
