symbol	GSM1256682	GSM1256683	GSM1256684	GSM1256685	GSM1256686	GSM1256689	GSM1256691	GSM1256693	GSM1256698	GSM1256702	GSM1256706	GSM1256718
CCL14	8.44182930131477	8.53261885585105	8.10851874529948	8.41509329992076	8.34440307460393	8.68591035050375	8.75311939500965	8.44369246037642	8.39167479728078	8.08200847622315	7.65691661610066	8.32772824468401
CCL21	6.9465391875693	7.71659678249849	7.37511442362127	6.9548825109687	7.6973237636465	8.11673906612879	7.91264817579658	7.78370728047913	8.13934097737438	7.40546956592474	7.07649427200872	8.23933416604884
CCL3	7.41084745706238	8.42895973011932	8.23376753187744	7.16953824578575	7.05221266547859	7.03421140125552	7.53052122514727	6.92564881322154	7.76339280973638	7.03147352271249	6.52819940452139	6.73216538760003
CCL5	8.17000446212724	8.99799081773916	8.17621358001571	8.27260692935833	8.03454413009135	8.01389625428771	8.93758585170235	7.85005060646132	8.66220399447315	7.7580244348056	7.7471766255936	7.86904406098305
COL6A2	10.2075960757743	10.0135488839747	10.0708371140835	10.29155127255	10.3722607155944	10.2474567409438	9.9692260957594	10.0164401444293	10.0328790484183	9.9141316063177	9.63380380951671	10.3449559217811
COMP	6.43416792637449	7.42888890050467	6.6628355480187	7.08129678947919	7.05610996840402	6.60026531661807	6.49889548853299	6.65270929212841	6.50639425215219	7.02492877965919	6.82805966651562	6.47612779726333
CSF3	7.57837949271738	8.22163851718496	7.4603704421033	7.73115257501511	7.67413699127567	7.59133375477231	7.63282848881419	7.74795154448712	7.47149283941791	7.56473373170633	7.5242475088547	7.43334621995949
CX3CL1	7.37044549945627	7.52365339598739	7.75695102836954	7.47738512239952	7.60473952626308	7.53363384130047	7.22246201708925	7.47229656711254	7.0666184317901	7.1744422227988	7.15052175514441	7.14730155504458
CXCL14	8.73568525469065	10.2591839891654	7.79900965908068	6.98302023308386	7.0289395865331	8.98567616514374	9.34921293855695	7.91643416153724	7.9173553055966	7.02801607132352	7.27107932471807	7.02941520567833
EBI3	6.84604415290547	6.80633913488215	6.65661222967462	6.85394595678096	6.79560146641917	6.76645533030355	6.79571231149788	6.58739099432886	6.83647903391392	6.80096946408337	6.59407776275432	6.58677495323243
EPO	5.78540499019544	5.81730635161178	5.57287016314109	6.2260158488491	6.0424602517037	5.83585857025555	5.83201305914748	5.38072464822234	5.70184301783185	6.16843247666904	5.65068386448333	5.96431817251241
HSPG2	9.05032004105688	9.07362385992847	9.16848284515312	9.30902435912297	8.97888604065565	8.99420791794412	8.67460424673503	8.70167164032699	8.64243981859413	8.8634242064235	8.75427256057356	9.01867797460822
IL13	6.4243028579309	6.49206472055446	6.47808998510819	6.68867932800842	6.73943000690211	6.37580252188839	6.50068423452417	6.16197194475371	6.40478890157423	6.58278448139066	6.41331883807773	6.41779496575906
IL17C	8.0065001071458	8.16487779810379	7.84152813341139	8.05778228038267	8.02668023524108	7.96996487776311	7.84212168980163	7.76409792017446	7.85436679781634	8.07141951802183	7.97119207293692	7.78231436670131
IL1A	4.51194866247918	4.49557691668342	4.50003269389969	4.62371198921721	4.4660397216191	4.38978087915781	4.44184191006276	4.34072543390944	4.40986353316793	4.41415625061436	4.51909992716511	4.28575953215235
LAMA5	9.81873892372948	10.0461177336328	10.0160187581592	10.138894433896	9.71400833834242	10.0587225581098	9.55887416276782	9.70277996072304	9.46860297342091	9.32569729264656	9.99029446821821	9.6530294421866
LAMC3	7.50473286202377	7.46108680365992	7.40163242360962	7.65113962406908	7.5563807551301	7.49642838955221	7.35263684471986	7.34289192602171	7.16447450355106	7.39704255907575	7.0235366833564	7.23043450755179
LTB	7.88783709805472	8.08251543492846	7.82244330635557	7.95294114215458	7.86610806026337	7.95368141880987	8.27571311455718	7.48253713492382	8.0435187525915	7.96996232067849	7.82018494862603	7.66415591069318
NGF	6.41856900511173	6.52965979555071	6.19737316018688	6.64954104915893	6.47915294336124	6.39972086206812	6.37289484976824	6.37249233848847	6.38796832473436	6.39594670621983	6.21893221603923	6.6194216658493
PF4	7.10607158379239	7.25844196320496	7.02291951498288	7.3321329455103	7.20344841461135	7.18434600983839	7.47097286421346	7.28781362737663	7.21703325420914	7.41534632014058	7.64810971451892	6.98906014449409
TGFB1	7.5752372530777	7.34085927354077	7.38901468125339	7.7668032136715	7.74522647138417	7.4604106330644	7.35675011772662	7.24724297915855	7.29396041051619	7.43366535911903	7.31751837298125	7.37533568231495
TNF	6.66920565398829	7.31853033701979	6.78516555770901	6.84065498542121	6.81048308744509	6.71989275977108	6.67170981436042	6.65518663465046	6.66141267226541	6.63853991774133	6.6704859991852	6.72546367992152
TNFSF12	7.45866321502533	7.46238228483783	7.21165040935541	7.49395422796571	7.53682336259733	7.55709875652934	7.43414426496558	7.21665674197313	7.4701356535559	7.62810982342164	7.27563561435304	7.38551361513401
TNFSF13	7.88429169030995	7.84268052587782	7.85768500318645	7.96204434652929	8.04493215523244	7.92095895938788	7.80044493269047	7.55199448277244	7.72818974442721	7.9651488346878	7.99384029937749	7.82538852348945
TNXB	7.89450780768509	7.77882482424116	7.67708192936497	7.99266553273367	7.95752798147385	7.87418954962247	7.76896966867517	7.78002926450382	7.74392668631412	7.83185282008898	7.51114501382594	7.88914053383534
VEGFB	8.11179100030757	8.0665835774188	7.84670947722361	8.39428456442423	8.33474260002623	8.08668264893758	7.93414432345252	7.70500940800357	8.04630128038176	7.97012543693627	7.96168029545122	8.0237461766936
