symbol	GSM150190	GSM150191	GSM150192	GSM150193	GSM150194	GSM150195	GSM1256655	GSM1256660	GSM1256663	GSM1256664	GSM1256666	GSM1256673	GSM1256678	GSM1256679	GSM1256680	GSM1256699	GSM1256703	GSM1256707	GSM1256709	GSM1256719	GSM1256777	GSM1256779	GSM1256782
CCL14	8.02260860774404	8.00001621696067	7.57189088224976	7.39952084132955	7.81961863011388	7.69050841957213	7.84410415695884	7.57027150848413	7.90745226774061	7.74564008933278	7.91710872885941	8.20625416313689	8.68179735215961	8.65370146436815	8.09547454059431	8.3123001304734	8.3788545779663	8.28788197718818	8.8002405970429	8.19280438120372	8.26575168643769	7.49169932901423	7.95262606076758
CCL21	7.1206081835478	7.27558580444877	7.0634961198129	7.14928524242587	7.14996094592263	7.23486651735885	7.06229841713534	6.87796065181508	7.04500124014115	7.11352510146262	7.00964814496301	6.99411364379114	7.85410242241937	7.89459241636737	7.65121182528133	7.31131446465798	7.50031148316121	7.21275001542544	8.05448736890216	7.57480128373204	7.58684236350631	6.91694094907376	7.37138247112562
CCL3	6.45068416311039	7.49129046505572	6.33647520251516	7.11244670816222	6.18576663965955	7.6289362913962	6.65694107366062	6.38677146030563	5.72883572911943	6.66787071710945	5.64950022104219	6.86480634561533	7.46051302649724	6.91502825383965	7.73815963625909	7.58499953611458	7.5596396132047	6.75452486431767	6.96593483634986	7.06556392861221	7.26592709891277	7.24681881062763	6.13043551695689
CCL5	7.70505312203608	7.52685850111419	6.78773659780498	8.57329480729425	7.69926013369163	8.07598734277191	6.76346515510452	7.44317737782014	6.94907303804737	7.14076783970866	6.9085868268917	7.67891842822428	8.65940980357763	7.70821615084292	7.79162403528894	8.51866445391994	7.75524563748319	7.84407483714546	7.77141030681623	8.47064502886842	7.32590507215963	7.55167513331564	6.84320314539116
COL6A2	9.97152485672799	9.62387849881606	9.69078805883002	10.096685209854	9.54966566365763	9.61989981459776	9.53580858409072	9.91876804691016	9.60907317840314	9.65668299904305	9.80675711040516	9.84343636851148	10.3256293606147	10.2463693920616	10.0930261821147	9.95550738217921	10.1598597678904	10.054810939471	10.2292449490592	10.2218549903221	9.78998508999829	9.58620150560624	9.93556217943829
COMP	6.02434489256546	6.61365420011573	6.06672755878425	6.45158530006906	6.27057153771328	6.09779923453049	6.64694675081606	6.32943880308046	6.55720409428109	6.25629551506918	6.20113663883188	6.65052831490244	6.89207395129036	6.7280109450419	6.50837613725899	6.82641928616176	6.84701546356543	6.20720497419053	6.78790417745107	6.90585807617883	6.73363611441076	5.98679454755694	5.93900698215171
CSF3	7.14230490005715	7.85066341621615	7.65399890207796	7.42050824468842	7.19709266737732	7.33492573096576	7.63454698504287	7.42922917594857	7.26655391947074	7.3620907276788	7.32797928838426	7.33292772995433	7.57844344107283	7.76575744568845	7.5177198737384	7.65074733354596	7.52631420883693	7.41416670546756	7.57041825301491	7.48729527347761	7.34667440982681	7.20045296934751	7.21848753131816
CX3CL1	7.10104696383385	6.97465422966404	6.86067323054017	7.22648690211398	7.09619028177281	7.62357944037935	6.91441440866356	6.80022056700993	6.88340990462138	7.0174308070563	6.89378187874789	7.17396891124093	7.32755121847412	7.22889940276491	7.03327520208363	7.378972636061	7.10490567752533	7.09491683899798	7.13045849436677	7.2849137057132	6.93503395564807	7.70160372836867	6.69245430376914
CXCL14	7.08218294032047	6.70470423656216	7.56652767197183	6.38778853544602	6.66272020469877	6.89623544200595	6.28421923902554	6.11273887675805	6.35396671169222	6.35934322570091	6.86544962735518	8.3082362796936	7.69117489041588	7.86959758042786	7.18459885599395	6.94934196093568	8.44858936002772	7.62450381225477	9.78692252364425	8.61126031451327	8.33483770357617	5.70515078837512	6.75711558792381
EBI3	6.46990763373503	6.85278731116873	6.5070901579749	6.61121542470533	6.53574826515601	6.39163937948043	6.78162363863871	6.69413827278099	6.53491412852944	6.58480133140569	6.49298314014719	6.58270498060634	6.86436130304401	6.72653693924786	6.60262184749268	6.78508268041885	6.78693105290136	6.65864673800736	6.69510417500055	6.70319395151509	6.41448798703097	6.5802338148668	6.38532344211903
EPO	5.51333891105757	6.02334436611786	5.40319080985544	5.53729370254541	5.49739872819762	5.39045457182847	5.87405954042514	5.37450405754424	5.39679415392243	5.3920497959466	5.46056078641129	5.55484726784851	6.01390377161621	5.97381340779683	5.61714575371116	5.88179895625535	6.22171284931516	5.60663568404162	5.90973729501464	5.80417662659298	5.15961465486316	5.21364979755035	5.19150676846661
HSPG2	8.64054021142351	8.28984535484477	8.25930072993326	8.62987841831343	8.63017030215578	8.76925980265933	8.4602889166401	8.66531927497231	8.64223749727207	8.7668740340569	8.65633263489861	8.34725097105813	8.86419357784991	8.75826899062324	8.85062743894167	8.91010024826517	8.93696361121191	8.8128839217933	8.66811203369414	8.74554207413319	8.4563540421588	8.75404635204697	8.48439641881014
IL13	6.08691092238776	6.19664444376724	6.0799736295221	5.93232056444135	6.11846101792798	5.9534726451685	6.32702007845385	6.21940778546191	6.22138021706081	6.19189899689629	6.21282016654533	6.37483748954907	6.47512209738666	6.77697705925533	6.36087898479009	6.5648594875498	6.63406299844697	6.21489769572161	6.41064918572432	6.48858607645304	5.81748922452636	6.00296633512449	6.04270666357349
IL17C	7.66417227534494	8.14882014208638	7.72581500149907	7.38795376330402	7.67945814970356	7.59384288463183	8.15980129117106	7.80124995969566	7.71272320343893	7.74978065141061	7.75141943210414	7.87011172730359	7.99197694816933	8.09949399379067	7.87756701663009	8.10810206881513	8.14210866851833	7.77136963825276	7.99841471079328	7.82818208770456	7.43848437640212	7.46722442451938	7.41397931229835
IL1A	4.17305488964009	4.45567340314399	4.66020484828923	4.32133461091668	4.47759226771397	4.3809935477814	4.59504061533161	4.29690295962661	4.46946587365956	4.52533081346277	4.33056090347039	4.31583913181201	4.49008393698149	4.47528418123524	4.33775196809688	4.54160035656204	4.54661794937046	4.32161646378405	4.3431960423192	4.55290645992523	4.4135657372601	4.79431518994471	4.07823002330066
LAMA5	9.0932010567155	8.42271818414465	8.94253567655082	9.25208416921281	9.07930527526709	9.19543221469299	7.96228313712386	8.65576596022327	8.5537348920375	8.56897185448104	8.44376589532168	9.45887475076448	9.49744320759651	9.67409734348553	9.71525813399351	9.89043132343934	9.54562248462964	9.43706650375339	9.54551591469268	9.35896964288143	8.79983242989854	9.67892241123542	9.16533715469731
LAMC3	7.09595522144147	7.434428117581	7.11272864467516	7.27984505930761	7.44654140212726	7.62904640422069	7.39947673858001	7.23365793214147	7.35685170501964	7.39118089815555	7.14432116318012	7.45131386899993	7.55919489682804	7.51589626342195	7.22684221136827	7.55647765958761	7.39190267324296	7.37337291915597	7.12393468486655	7.60611079041088	7.13884872543598	7.4113001383819	6.99882865268277
LTB	7.44600907108977	8.06469783404761	7.37144039383661	8.03273933826723	7.43471858501522	7.80360224468785	7.33024064347785	7.41657289913963	7.0422851014173	7.28292865912696	7.23201726225824	7.60497911595843	8.23568695688228	7.87644770694166	7.44479733959749	8.04897093581019	7.9353773919778	7.6736275019352	7.88535187480454	7.87780389242384	7.21605385191661	8.01368062100454	7.11612728331759
NGF	6.15488169608001	6.31334069590283	5.91596410312346	6.31620245954258	5.99439967919099	6.03992120971035	6.19216092139448	6.18284538147764	5.88070381082073	6.03848515042812	5.98482423320796	6.1610263671521	6.55751150078156	6.5495251667474	6.17968912262486	6.36646889642577	6.50144399518079	6.19537829626385	6.52663499131414	6.3083505331592	6.10310483259503	5.8315557670134	6.05092879261346
PF4	6.86047296878736	7.21689151280092	6.70562460670035	6.77566093697094	6.8921604564835	7.48165945555325	6.9282835844538	6.79346613917115	6.76815095445895	7.26241563421921	6.84490742991287	7.05562764217164	7.48413464236362	7.32874273283756	6.9949789474276	7.7249622498216	7.33652538494343	7.02210940896411	7.32711238579705	7.33386310756059	6.67146560414807	6.91810456684535	6.88043485270303
TGFB1	7.2471762924431	7.36008361460208	7.14893466638561	7.237119404534	7.06624005154613	7.07227879640652	7.01166401248584	6.95848520325634	6.9297706966459	6.88756339209472	6.99644910375462	7.18209036280358	7.5635915298078	7.7093098206215	7.33001526825174	7.55216192441363	7.4841839186633	7.28492996788315	7.5235526059466	7.53811668057443	6.88029147325275	6.92650039457124	6.86064234162501
TNF	6.55443558160434	6.89228187929024	6.55562189938033	6.6563011217347	6.75495132710938	6.8960417574016	6.74729957831513	6.66458062160008	6.6516255041739	6.69547619170701	6.59029055302905	6.67665468475093	6.80250324017771	6.70189490484081	6.63364523443913	6.78147272722786	6.68718672164329	6.68831612636979	6.80558443306938	6.74990740834538	6.71734063928044	6.79586839853994	6.49722336723627
TNFSF12	7.13464990082232	7.46966031728071	6.95341899265296	7.41277745930938	7.03612943805159	6.99824494645467	7.26378787243766	7.17670437726733	7.0391381183427	7.00983782859425	7.09141866700219	7.30037856672539	7.49157665547267	7.65598938229885	7.19804207829961	7.54740110771121	7.48672530490196	7.30825677938489	7.5045423290362	7.34130665271056	6.90094286463854	6.86048625909359	6.91410489691964
TNFSF13	7.61144609226781	7.54660251150323	7.6436119153706	7.68658127846153	7.59713089676757	7.74629472668044	7.20839498818801	7.30981833078041	7.29329341309554	7.40928424336322	7.23485415297765	7.78007470300522	8.02548068227141	7.92967612570203	7.84485715399471	7.91369652622742	7.91124544328771	7.72638747896372	7.96729633456014	7.78473991964694	7.28556207985269	7.39011222073663	7.31552500085532
TNXB	7.5583791498845	7.59551392580747	7.57909592714302	7.48873512106511	7.28770478297207	7.19543433519032	7.53640762282956	7.43352365292727	7.27713137912526	7.20895967433126	7.45282000056586	7.6276990767195	8.0111325774421	8.01606704780634	7.69023963353653	7.73822524692055	8.04096032299859	7.73491177891247	7.78936728895005	7.69979483252684	7.44720317382706	7.16203700172809	7.6765619005484
VEGFB	7.78551684417948	7.34491840379212	7.52018844428865	7.51620320562842	7.36170158903083	7.36703594304958	7.14512760427813	7.25773937505546	7.13649698066121	7.10832431544193	7.35084605973039	7.65224425884612	8.09556396473268	8.1646894929694	7.86986195483092	8.16581358433148	8.20785164905548	7.88040054053109	8.20031112919655	8.10866596218739	7.51745793848946	7.31247764839922	7.3242059225873
