hgnc_symbol	affy_hg_u95c
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	
KIR2DS4	
INTS3	
PCMTD2	
KIR2DS5	
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	
KIR3DL3	
KIR3DL1	
FCAR	
OPRL1	
NPBWR2	
KIR2DS2	
MYT1	66072_at
MYT1	
KIR2DL5B	
KIR3DS1	
KIR2DL5A	
FCAR	54741_at
KIR2DS1	
SBNO2	
PTCHD3	
DNAH10	55825_at
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	64410_at
LINC02735	
CCDC92	
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	
KRTAP9-2	
KRTAP9-10P	
KRTAP9-4	
KRTAP9-6	
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	
PPIAL4F	
DHX36	
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	
ARHGEF26	
LINC01839	
LINC02054	66860_at
LINC02054	
RNU6-222P	
FTCD	
ADI1	58556_r_at
TRAPPC12	
TRAPPC12	53247_at
KRTAP9-3	
ARHGEF26-AS1	
	66301_at
SNTG2	57928_at
FTCD-AS1	52095_at
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	
PROP1	
LINC00254	
HS3ST6	
MEIOB	
CES5AP1	
LINC02124	
KRT20	
KCNQ2-AS1	63242_i_at
KCNQ2-AS1	63243_r_at
FAM230I	52299_at
KCNQ2	
ERICH1	
KRTAP3-1	
KRTAP3-2	
ZNF965P	
GXYLT1P1	
KRTAP4-9	
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
	65973_at
LINC00328-2P	
ANKRD20A9P	
KRTAP2-4	
RNU6-55P	
KRT23	48684_at
KRT23	
ABCB11	
SPATC1L	65127_at
SPATC1L	59811_at
G6PC2	
SLC45A2	
RXFP3	
ADAMTS12	
	58150_at
ABCB10P1	
GOLGA8DP	
SPC25	
LINC02549	
APOBEC3B-AS1	
APOBEC3A	
GARRE1	
DLG5-AS1	
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	
KRT40	
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	
NOSTRIN	
MPHOSPH10P5	
KRTAP1-1	
KRTAP4-11	
KRTAP2-5P	
CYFIP1	
KRTAP1-3	
KRTAP4-16	
KRT12	
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	
KRT39	
ANKRD18DP	49999_at
ANKRD18DP	
CNTNAP2	
CNTNAP2	60803_at
RPS17	
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	
SKA1	59977_r_at
SKA1	59976_f_at
SKA1	
METRNL	59225_at
METRNL	65137_at
METRNL	
KRTAP3-3	
LINC02066	
KRTAP2-3	
AADACL2-AS1	
RNU6-821P	
ZNF43	
KRTAP4-12	
KRTAP1-4	
HERC2P2	
PAXBP1	
ZNF100	
	66862_at
C21orf62	
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	66781_at
MAPK4	
CPEB1	58755_at
CPEB1	
TBCD	
TBCD	59719_at
TBCD	58799_at
	62902_at
RNA5SP458	
LRRC56	
MPHOSPH10P9	
CTDP1-DT	
	48789_at
RPS6P22	
LRIG3-DT	
MAFIP	48789_at
SMN2	
TUBGCP5	61683_r_at
CTDP1	
DECR2	
MREGP1	
	63356_s_at
	63623_at
AP2A2	
SNTB2	
RPL4P5	
PHRF1	
UTP4	
UTP4	63117_at
UTP4	63253_r_at
UTP4	63252_i_at
SINHCAF	65738_at
SINHCAF	
MAD2L1-DT	
GART	
ABR	
