hgnc_symbol	affy_hg_u133b
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	224373_s_at
MT-ND4L	224373_s_at
MT-ND4L	224372_at
MT-ND4	224373_s_at
MT-ND4	224372_at
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	
KIR2DS4	
INTS3	
PCMTD2	
KIR2DS5	
LINC02109	244785_at
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	
KIR2DL2	
KIR3DL3	
KIR3DL1	
FCAR	
OPRL1	
NPBWR2	
KIR2DS2	
MYT1	
KIR2DL5B	
KIR3DS1	
KIR2DL5A	
KIR2DS1	
SBNO2	
PTCHD3	
DNAH10	229738_at
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	234901_at
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	238076_at
GATAD2B	225393_at
LINC02735	
CCDC92	
KRT18P40	
ZNF430	
	225762_x_at
RNA5-8SN5	
ZNF85	
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	
KRTAP9-2	233631_x_at
KRTAP9-10P	
KRTAP9-4	233640_x_at
KRTAP9-6	
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	
PPIAL4F	
DHX36	
DHX36	223140_s_at
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	
ARHGEF26	233903_s_at
ARHGEF26	227197_at
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	222400_s_at
ADI1	241443_at
TRAPPC12	
TRAPPC12	229556_at
KRTAP9-3	234679_at
	224623_at
ARHGEF26-AS1	
FTCD-AS1	
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	
PROP1	
LINC00254	
HS3ST6	239547_at
MEIOB	
CES5AP1	
LINC02124	
KRT20	
KCNQ2-AS1	
FAM230I	
KCNQ2	
ERICH1	
KRTAP3-1	233537_at
KRTAP3-2	233534_at
ZNF965P	
GXYLT1P1	
KRTAP4-9	234685_x_at
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
	225046_at
	225062_at
LINC00328-2P	
ANKRD20A9P	
KRTAP2-4	
RNU6-55P	
KRT23	
ABCB11	
SPATC1L	223360_at
G6PC2	
SLC45A2	
RXFP3	
ADAMTS12	
ABCB10P1	
GOLGA8DP	
SPC25	
LINC02549	
APOBEC3B-AS1	
APOBEC3A	
GARRE1	
	229689_s_at
DLG5-AS1	239565_at
TUBGCP5	
RN7SL284P	
	243870_at
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	
KRT40	
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	236656_s_at
NOSTRIN	
NOSTRIN	226992_at
MPHOSPH10P5	
KRTAP1-1	
	234772_s_at
KRTAP4-11	234633_at
KRTAP2-5P	
CYFIP1	
KRTAP1-3	234880_x_at
KRTAP4-16	
KRT12	
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	233533_at
KRT39	
	234424_at
ANKRD18DP	
CNTNAP2	
RPS17	
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	240420_at
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	234691_at
SKA1	
METRNL	225955_at
KRTAP3-3	233681_at
LINC02066	
KRTAP2-3	
AADACL2-AS1	
RNU6-821P	
ZNF43	
KRTAP4-12	224269_at
KRTAP1-4	
HERC2P2	
PAXBP1	
ZNF100	238791_at
ZNF100	
	234631_at
C21orf62	
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	240439_at
MAPK4	
CPEB1	222903_s_at
CPEB1	
TBCD	229192_s_at
TBCD	
TBCD	229191_at
	223923_at
RNA5SP458	
LRRC56	232554_at
MPHOSPH10P9	
CTDP1-DT	
	231952_at
	227330_x_at
	229748_x_at
	227715_at
RPS6P22	
LRIG3-DT	
	242884_at
MAFIP	227330_x_at
MAFIP	229748_x_at
MAFIP	227715_at
SMN2	
TUBGCP5	227967_at
	233474_at
