hgnc_symbol	affy_hg_u95a
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
	34279_at
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	31984_at
KIR2DS4	
INTS3	41406_at
INTS3	
PCMTD2	
LILRP2	
KIR2DS5	
LINC02109	
KIR2DS3	
KIR2DL4	
KIR2DP1	
NCR1	34040_s_at
NCR1	
KIR2DL2	
KIR3DL3	
KIR3DL1	
FCAR	
OPRL1	34558_at
NPBWR2	
KIR2DS2	
MYT1	
MYT1	32189_g_at
MYT1	32188_at
KIR2DL5B	
KIR3DS1	
KIR2DL5A	
KIR2DS1	
	32189_g_at
SBNO2	37216_at
SBNO2	36336_s_at
SBNO2	
PTCHD3	
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
OR9G9	
GATAD2B	
LINC02735	
CCDC92	
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
ZNF85	36303_f_at
SLC27A3	41406_at
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	35901_at
PIWIL1	
KRTAP9-2	
KRTAP9-10P	
KRTAP9-4	
KRTAP9-6	
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	
PPIAL4F	
DHX36	
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	40575_at
DLG5	
ARHGEF26	
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	
TRAPPC12	
TRAPPC12	41590_at
KRTAP9-3	
ARHGEF26-AS1	
FTCD-AS1	
LSS	39107_at
LSS	39108_at
LSS	
TPO	
LINC01659	
SUDS3P1	
ZDHHC8P1	
PROP1	33086_at
LINC00254	
HS3ST6	
MEIOB	
CES5AP1	
LINC02124	
KRT20	40694_at
KRT20	
KCNQ2-AS1	
FAM230I	
KCNQ2	
ERICH1	
KRTAP3-1	
KRTAP3-2	
ZNF965P	
GXYLT1P1	
KRTAP4-9	
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
LINC00328-2P	
	35984_at
ANKRD20A9P	
KRTAP2-4	
RNU6-55P	
	40042_r_at
	34110_g_at
KRT23	
ABCB11	31398_at
SPATC1L	
G6PC2	
SLC45A2	
RXFP3	
ADAMTS12	
ABCB10P1	
GOLGA8DP	
SPC25	38940_at
LINC02549	
APOBEC3B-AS1	
	40234_at
APOBEC3A	
APOBEC3A	39230_at
GARRE1	
	35896_at
	736_f_at
	737_at
DLG5-AS1	
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	38400_at
LSM14A	38401_s_at
LSM14A	
KRT40	
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	
NOSTRIN	
MPHOSPH10P5	
KRTAP1-1	
KRTAP4-11	
KRTAP2-5P	
CYFIP1	
KRTAP1-3	
KRTAP4-16	
KRT12	34615_at
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	
KRT39	
ANKRD18DP	
CNTNAP2	37155_at
RPS17	34593_g_at
RPS17	34592_at
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	
SKA1	
METRNL	
KRTAP3-3	
LINC02066	
KRTAP2-3	
AADACL2-AS1	
RNU6-821P	
ZNF43	33982_f_at
KRTAP4-12	
KRTAP1-4	
HERC2P2	
HERC2P2	40877_s_at
PAXBP1	
ZNF100	
C21orf62	
FRG1-DT	
CCNYL6	
HERC2P7	
SPATA31E3P	
GOLGA8IP	
C21orf62-AS1	
RNU1-51P	
DNM1P38	
KCNIP4	
BRI3BPP1	
VN1R84P	
MTDHP4	
MAPK4	
CPEB1	
TBCD	39399_at
TBCD	39398_s_at
TBCD	
RNA5SP458	
LRRC56	
MPHOSPH10P9	
CTDP1-DT	
RPS6P22	
LRIG3-DT	
MAFIP	
SMN2	37313_at
SMN2	
CTDP1	
DECR2	
MREGP1	
AP2A2	
AP2A2	32228_at
SNTB2	
RPL4P5	
PHRF1	
UTP4	
SINHCAF	
MAD2L1-DT	
