hgnc_symbol	affy_hg_u133a_2
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	
MT-TS1	
MT-TD	
MT-CO2	
MT-TK	
MT-ATP8	
MT-ATP6	
MT-CO3	
MT-TG	
MT-ND3	
MT-TR	
MT-ND4L	
MT-ND4	
MT-TH	
MT-TS2	
MT-TL2	211600_at
MT-ND5	211600_at
MT-ND6	
MT-TE	
MT-CYB	
MT-TT	
MT-TP	
	
	201104_x_at
	212854_x_at
	215434_x_at
KIR2DL3	
KIR2DL1	
KIR3DP1	
LILRP1	
KIR3DL2	
LILRP2	214561_at
KIR2DS4	
INTS3	202809_s_at
INTS3	
PCMTD2	
LILRP2	
KIR2DS5	
LINC02109	
KIR2DS3	208122_x_at
KIR2DL4	
KIR2DP1	
NCR1	217088_s_at
NCR1	
KIR2DL2	
KIR3DL2	216907_x_at
KIR3DL2	211688_x_at
KIR3DL2	207313_x_at
KIR3DL2	207314_x_at
KIR3DL3	
KIR3DL1	211687_x_at
FCAR	
FCAR	211306_s_at
FCAR	207674_at
OPRL1	206564_at
OPRL1	206563_s_at
NPBWR2	221358_at
KIR2DS2	
MYT1	
MYT1	210341_at
MYT1	215822_x_at
KIR3DL3	216676_x_at
KIR2DL5B	211410_x_at
KIR3DL1	
KIR3DS1	
	220771_at
KIR2DL5A	211410_x_at
KIR2DS1	
	215822_x_at
KIR2DL1	210890_x_at
SBNO2	215760_s_at
SBNO2	204166_at
SBNO2	
PTCHD3	
DNAH10	
ODAD2P1	
FAM210CP	
TRIAP1P1	
SNTG2	
OR9G4	
OR5G3	
OR9G3P	
OR5G1P	
OR5G4P	
OR5G5P	
OR9G2P	
OR9G1	
GEMIN2P1	
KIR2DS3	
OR9G9	
GATAD2B	
LINC02735	
CCDC92	
CCDC92	218175_at
KRT18P40	
ZNF430	
RNA5-8SN5	
ZNF85	
ZNF85	206572_x_at
SLC27A3	202809_s_at
SLC27A3	222217_s_at
SLC27A3	
BNIP3P24	
ZNF66	
PIWIL1	214868_at
PIWIL1	
	211132_at
KRTAP9-2	
KRTAP9-10P	
KRTAP9-4	
KRTAP9-6	
KRTAP9-7	
KRTAP29-1	
KRTAP9-12P	
KRTAP9-11P	
KRTAP9-9	220972_s_at
PPIAL4F	
DHX36	
IMPDH1P5	
RNVU1-26	
RNVU1-2A	
DLG5	201681_s_at
DLG5	210469_at
DLG5	
ARHGEF26	222121_at
ARHGEF26	
LINC01839	
LINC02054	
RNU6-222P	
FTCD	
ADI1	217761_at
TRAPPC12	
TRAPPC12	203122_at
KRTAP9-3	
ARHGEF26-AS1	
FTCD-AS1	
LSS	211019_s_at
LSS	211018_at
LSS	202245_at
LSS	
TPO	
TPO	210342_s_at
LINC01659	
SUDS3P1	
ZDHHC8P1	222274_at
ZDHHC8P1	
PROP1	211223_at
LINC00254	
HS3ST6	
MEIOB	
CES5AP1	
LINC02124	
KRT20	213953_at
KRT20	
KCNQ2-AS1	
FAM230I	
KCNQ2	
KCNQ2	210508_s_at
ERICH1	
KRTAP3-1	
KRTAP3-2	
ZNF965P	
GXYLT1P1	
KRTAP4-9	
CYP4F34P	
LINC02557	
CNN2P12	
SNX18P26	
LINC00328-2P	
	203957_at
ANKRD20A9P	
KRTAP2-4	220970_s_at
RNU6-55P	
	214203_s_at
KRT23	218963_s_at
KRT23	
ABCB11	208288_at
ABCB11	211224_s_at
SPATC1L	
G6PC2	221453_at
SLC45A2	220245_at
SLC45A2	
RXFP3	221066_at
ADAMTS12	
ABCB10P1	
GOLGA8DP	
SPC25	209891_at
SPC25	
LINC02549	
APOBEC3B-AS1	
	208024_s_at
APOBEC3A	
APOBEC3A	206632_s_at
GARRE1	
DLG5-AS1	
TUBGCP5	
RN7SL284P	
RNU6-1266P	
SEPTIN9-DT	
SEPTIN9	
LSM14A	222099_s_at
LSM14A	212131_at
LSM14A	212132_at
LSM14A	
KRT40	
GOLGA6L1	
CRIM1	
ELMO2P1	
RPL21P36	
CRIM1-DT	
NOSTRIN	
MPHOSPH10P5	
KRTAP1-1	220976_s_at
KRTAP4-11	
KRTAP2-5P	
CYFIP1	
KRTAP1-3	220978_at
KRTAP4-16	
KRT12	207811_at
DLGAP2-AS1	
DLGAP2	
KRTAP1-5	
KRT39	
ANKRD18DP	
CNTNAP2	219300_s_at
CNTNAP2	215145_s_at
CNTNAP2	219302_s_at
CNTNAP2	219301_s_at
RPS17	201665_x_at
RPS17	211487_x_at
RPS17	212578_x_at
RPS17	
GOLGA6L22	
SLC25A51P1	
ADH5P4	
AADACL2	
KRTAP3-4P	
GOLGA8EP	
KRTAP2-1	
